"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.252608333E-2,-1.841536887E-3,-1.142233478E-2,8.665573597E-4,1.160223735E-2
8.257908333E-2,1.328836288E-2,-7.329831999E-3,8.946239948E-3,1.761653298E-2
9.263208334E-2,-1.391550987E-2,8.204411007E-3,2.286787570E-2,2.799809840E-2
1.026850833E-1,-2.164323576E-2,-1.120494626E-2,1.044312716E-2,2.651488978E-2
1.127380833E-1,-1.519276447E-2,-2.436807023E-2,-9.316368699E-3,3.018969468E-2
1.227910834E-1,-2.862022713E-2,-1.394071229E-2,1.478468478E-2,3.510053794E-2
1.328440833E-1,-7.987603788E-3,-2.549868420E-2,3.558615446E-3,2.695641768E-2
1.428960833E-1,-1.301868175E-2,-9.031444844E-3,1.912624240E-2,2.483679164E-2
1.529490833E-1,-1.464938455E-2,-3.967719544E-3,1.643184543E-2,2.236856746E-2
1.630020833E-1,-3.803361392E-3,-1.068193110E-2,2.317017674E-2,2.579585820E-2
1.730550833E-1,5.370616185E-3,2.603253499E-3,2.197325170E-2,2.276937059E-2
1.831080833E-1,5.161413773E-3,1.293214068E-2,1.284223974E-2,1.894211118E-2
1.931610833E-1,-1.492756355E-2,2.050271351E-3,4.113282323E-2,4.380576347E-2
2.032140833E-1,2.051186120E-3,1.936981548E-2,3.409569919E-2,3.926721049E-2
2.132670833E-1,1.205661721E-2,1.344896145E-3,2.870807469E-2,3.116607637E-2
2.233200833E-1,1.582257355E-2,-7.801464759E-4,3.514468968E-2,3.855011900E-2
2.333730833E-1,1.468260176E-2,3.948204461E-3,1.912448823E-2,2.443180638E-2
2.434260834E-1,-1.964783516E-3,6.651390530E-4,1.672654510E-2,1.685467576E-2
2.534790833E-1,-1.439975412E-2,-5.795833245E-3,4.450315833E-3,1.614775256E-2
2.635320833E-1,-1.989000639E-3,-1.061538247E-2,6.251842976E-3,1.247910290E-2
2.735850833E-1,-9.976483943E-3,-1.327736394E-2,1.643243015E-2,2.336329142E-2
2.836370833E-1,-3.750901475E-3,-1.304988898E-3,1.374095678E-2,1.430336154E-2
2.936900833E-1,-1.055336202E-2,4.880835358E-3,8.350993395E-3,1.431555428E-2
3.037430833E-1,-1.974015436E-2,-1.544753976E-2,2.077749610E-2,3.255771065E-2
3.137960833E-1,-1.539077837E-2,1.181503013E-4,2.437236428E-2,2.882537353E-2
3.238490833E-1,-4.340582896E-3,-5.423292518E-5,-3.020671606E-3,5.288483529E-3
3.339020833E-1,2.770413060E-3,-4.429521672E-3,1.434380472E-2,1.526566686E-2
3.439550833E-1,2.554714757E-3,-2.540140115E-3,9.851973653E-3,1.049000782E-2
3.540080833E-1,1.231513609E-2,-9.277210627E-3,5.658350587E-3,1.642395035E-2
3.640610834E-1,5.749242813E-3,-9.482539259E-4,2.197266698E-2,2.273215944E-2
3.741140833E-1,1.192637048E-2,9.563303925E-4,2.691297948E-2,2.945269674E-2
3.841670833E-1,1.545420239E-2,-4.766869470E-3,3.304846287E-2,3.679342759E-2
3.942200833E-1,-6.922589417E-3,1.011749206E-2,9.546164274E-3,1.553753977E-2
4.042720833E-1,-8.566012474E-4,6.182480380E-3,1.463148773E-2,1.590714501E-2
4.143250833E-1,-5.698184744E-3,4.430471845E-3,1.897187591E-2,2.029853358E-2
4.243780833E-1,-3.329380610E-3,8.438628539E-4,1.657393277E-2,1.692607831E-2
4.344310833E-1,7.733695301E-3,-4.544766638E-3,2.405836880E-2,2.567625472E-2
4.444840833E-1,-9.455230364E-3,-1.179158645E-2,2.016763151E-2,2.520270328E-2
4.545370833E-1,-1.066587980E-2,-3.079289943E-3,1.672654510E-2,2.007536623E-2
4.645900833E-1,-1.458278225E-2,-6.262897868E-3,1.597634733E-2,2.251943831E-2
4.746430833E-1,-1.586659098E-2,-1.199355293E-2,2.361164153E-2,3.087237660E-2
4.846960834E-1,-5.553050456E-4,4.754517227E-5,8.943316340E-3,8.960665790E-3
4.947490833E-1,-7.279123391E-3,-1.621103995E-3,1.702650726E-2,1.858804898E-2
5.048020833E-1,-6.728679986E-3,-7.991426177E-3,1.088868499E-2,1.508978090E-2
5.148550833E-1,9.833977476E-3,-4.670152869E-3,2.944950163E-2,3.139730223E-2
5.249080833E-1,-9.022137835E-3,-5.375856981E-3,2.840109587E-2,3.028070435E-2
5.349600833E-1,4.044627846E-3,-1.372454803E-2,3.289351165E-2,3.587067524E-2
5.450130833E-1,6.885446464E-3,-8.760335036E-3,2.390926480E-2,2.637813084E-2
5.550660833E-1,5.197227540E-4,-7.667910699E-3,1.133482754E-2,1.369471729E-2
5.651190833E-1,4.429934518E-3,-5.943548530E-3,2.331109464E-2,2.446134139E-2
5.751720833E-1,-1.714547640E-2,-6.723950822E-3,1.403097868E-2,2.315269397E-2
5.852250833E-1,-1.465046377E-2,-5.031748340E-3,3.019619107E-2,3.393765660E-2
5.952780833E-1,-8.045202289E-3,-2.070879132E-2,7.891986966E-3,2.357674227E-2
6.053310834E-1,6.407811743E-3,-1.159956023E-2,1.806906581E-2,2.240761005E-2
6.153840833E-1,-1.354870901E-2,-1.614178699E-3,7.738789916E-3,1.568636217E-2
6.254370833E-1,-1.878004840E-2,-9.169804584E-3,1.522439539E-2,2.585648370E-2
