"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.668333473E-4,1.024180889E0,7.183167934E0,-1.545668006E0
1.029083331E-2,9.859557748E-1,7.390865326E0,-1.510752201E0
2.031483332E-2,8.791946769E-1,7.431879044E0,-1.417230606E0
3.033783333E-2,7.228620648E-1,7.393148899E0,-1.235056520E0
4.036183335E-2,5.646876097E-1,7.232723236E0,-1.058495045E0
5.038583331E-2,4.787772298E-1,6.924788952E0,-9.285902977E-1
6.040983333E-2,5.334953666E-1,6.518277645E0,-7.819486856E-1
7.043383335E-2,6.709337234E-1,6.090857029E0,-5.993361473E-1
8.045783330E-2,8.236761689E-1,5.724957943E0,-4.243564010E-1
9.048183332E-2,9.457973242E-1,5.452236176E0,-2.946438491E-1
1.005058333E-1,1.051258802E0,5.206292152E0,-2.079462707E-1
1.105288333E-1,1.192929506E0,4.932367325E0,-1.370080709E-1
1.205528333E-1,1.397674680E0,4.559588909E0,-4.634928331E-2
1.305768333E-1,1.630557179E0,3.938933372E0,8.879754692E-3
1.406008333E-1,1.935695171E0,3.222158909E0,-4.054212570E-2
1.506248334E-1,2.184024811E0,2.575093031E0,-1.530583948E-1
1.606488333E-1,2.281254292E0,2.284104109E0,-3.141168058E-1
1.706728333E-1,2.168577433E0,2.392884970E0,-3.972872496E-1
1.806968334E-1,1.831138372E0,2.679551601E0,-4.253928959E-1
1.907198333E-1,1.398664474E0,2.870420933E0,-3.720450699E-1
2.007438333E-1,9.344497323E-1,2.851068258E0,-3.329581022E-1
2.107678333E-1,4.925081730E-1,2.656699181E0,-2.555593848E-1
2.207918334E-1,1.840840280E-1,2.271018505E0,-1.316177547E-1
2.308158333E-1,7.014138997E-2,2.015321732E0,6.011662632E-2
2.408398333E-1,7.574041933E-2,1.880008221E0,2.540147305E-1
2.508638334E-1,1.460326612E-1,1.805507183E0,3.944340944E-1
2.608878333E-1,2.746170163E-1,1.716345668E0,5.368503332E-1
2.709108333E-1,4.363527894E-1,1.788262844E0,7.722358704E-1
2.809348333E-1,6.766867638E-1,1.724187255E0,1.000659704E0
2.909588334E-1,8.595525622E-1,1.617561936E0,1.227611661E0
3.009828333E-1,6.863541007E-1,1.386068106E0,1.495462894E0
3.110068333E-1,3.317538798E-1,1.153331280E0,1.751552343E0
3.210308334E-1,-2.507802285E-2,1.087811112E0,2.030222416E0
3.310548333E-1,-2.978691757E-1,1.155711889E0,2.323939800E0
3.410788333E-1,-4.054145515E-1,1.245777488E0,2.639995098E0
3.511010000E-1,-3.322742879E-1,1.356744885E0,2.948749304E0
3.611250000E-1,-1.940748692E-1,1.386636019E0,3.035579205E0
3.711490000E-1,4.033072386E-3,1.355402231E0,2.867025375E0
3.811730000E-1,1.978123933E-1,1.410742521E0,2.631609201E0
3.911970000E-1,2.096931934E-1,1.444147110E0,2.671122789E0
4.012210000E-1,8.376348019E-2,1.465275526E0,3.010106087E0
4.112450000E-1,2.604597434E-2,1.664086699E0,3.506456614E0
4.212690000E-1,-6.249427795E-2,2.017050505E0,4.120799541E0
4.312920000E-1,-2.667617798E-1,2.321890116E0,4.609227657E0
4.413160000E-1,-4.351132214E-1,2.333077908E0,4.870954514E0
4.513400000E-1,-4.757788777E-1,2.066085815E0,4.860823154E0
4.613640000E-1,-4.411167800E-1,1.650617480E0,4.604907036E0
4.713880000E-1,-3.861117065E-1,1.345490932E0,4.293033600E0
4.814120000E-1,-3.750391006E-1,1.291555762E0,4.144076347E0
4.914360000E-1,-4.780523479E-1,1.480002046E0,4.257045746E0
5.014600000E-1,-6.939947605E-1,1.886464596E0,4.457673550E0
5.114830000E-1,-9.307289124E-1,2.190567970E0,4.798466682E0
5.215070000E-1,-1.136720181E0,2.692457676E0,5.080013752E0
5.315310000E-1,-1.329634786E0,2.913452387E0,5.154889107E0
5.415550000E-1,-1.416582942E0,2.680602074E0,5.006196022E0
5.515790000E-1,-1.408129096E0,2.173728943E0,4.799141884E0
5.616030000E-1,-1.301443696E0,1.562191486E0,4.594580173E0
5.716270000E-1,-1.077675819E0,1.163574338E0,4.403374195E0
5.816500000E-1,-9.048737288E-1,1.030123115E0,4.338078499E0
5.916740000E-1,-8.562051654E-1,8.742569685E-1,4.352250099E0
6.016980000E-1,-9.160107374E-1,5.557993650E-1,4.369787216E0
6.117220000E-1,-1.108191252E0,8.073154688E-1,4.485196590E0
6.217460000E-1,-1.375489831E0,1.503607154E0,4.712981701E0
6.317700000E-1,-1.687925816E0,2.240857124E0,4.874783039E0
6.417940000E-1,-1.940367579E0,2.674662828E0,4.950036526E0
6.518180000E-1,-2.038396358E0,2.739888906E0,5.017272949E0
6.618410000E-1,-1.987084150E0,2.500874043E0,5.160954475E0
6.718650000E-1,-1.816062808E0,2.035369873E0,5.352147102E0
6.818890000E-1,-1.549206853E0,1.537289739E0,5.591234684E0
6.919130000E-1,-1.258711696E0,1.275642276E0,5.816729546E0
7.019370000E-1,-1.057962656E0,1.196024656E0,5.898456573E0
7.119610000E-1,-1.108678222E0,1.315935969E0,5.807341576E0
7.219850000E-1,-1.384494662E0,1.626670718E0,5.618414402E0
7.320090000E-1,-1.777393222E0,1.918190122E0,5.469392300E0
7.420320000E-1,-2.175513983E0,2.054270029E0,5.372437477E0
7.520560000E-1,-2.429801464E0,1.929621816E0,5.312353134E0
7.620800000E-1,-2.455664158E0,1.574838996E0,5.307144165E0
7.721040000E-1,-2.304946184E0,1.190745354E0,5.334562778E0
7.821280000E-1,-2.108031273E0,9.101928473E-1,5.359663963E0
7.921520000E-1,-2.121523619E0,7.488015890E-1,5.413262367E0
8.021760000E-1,-2.423205376E0,7.115386724E-1,5.438348293E0
8.121990000E-1,-2.804141283E0,8.726638556E-1,5.383735657E0
8.222230000E-1,-3.153182507E0,1.100324750E0,5.259309292E0
8.322470000E-1,-3.371320009E0,1.236324906E0,5.047242165E0
8.422710000E-1,-3.362198114E0,1.173018575E0,4.696675777E0
8.522950000E-1,-3.201027632E0,9.241061807E-1,4.252269268E0
8.623190000E-1,-2.962840796E0,7.444618344E-1,3.768157482E0
8.723430000E-1,-2.702835798E0,6.921097040E-1,3.378691435E0
8.823670000E-1,-2.534300327E0,7.239166498E-1,3.089941740E0
8.923900000E-1,-2.434351206E0,8.051915765E-1,2.864799976E0
9.024140000E-1,-2.383351326E0,8.839628100E-1,2.634676933E0
9.124380000E-1,-2.405885696E0,1.002284646E0,2.334835052E0
9.224620000E-1,-2.514255047E0,1.187652946E0,2.010414839E0
9.324860000E-1,-2.759543657E0,1.390733838E0,1.697189689E0
9.425100000E-1,-3.060906649E0,1.619827747E0,1.441511035E0
9.525340000E-1,-3.335416317E0,1.762518167E0,1.255187869E0
9.625570000E-1,-3.603941917E0,1.767897248E0,1.154983997E0
9.725810000E-1,-3.838818312E0,1.688730836E0,1.057908416E0
9.826050000E-1,-4.041436672E0,1.499665141E0,9.274603724E-1
9.926290000E-1,-4.302284718E0,1.385905385E0,6.845337749E-1
1.002653000E0,-4.642588139E0,1.461932778E0,3.350926936E-1
1.012677000E0,-5.106205940E0,1.720125914E0,-7.873895764E-2
1.022701000E0,-5.617059708E0,2.160861731E0,-5.648468137E-1
1.032725000E0,-6.086781502E0,2.549532413E0,-1.120693564E0
1.042748000E0,-6.451467037E0,2.818347216E0,-1.721631527E0
1.052772000E0,-6.635476589E0,2.903815031E0,-2.296490908E0
1.062796000E0,-6.663336277E0,2.740377665E0,-2.806094408E0
1.072820000E0,-6.557685375E0,2.425540209E0,-3.294152975E0
1.082844000E0,-6.348142147E0,2.083581686E0,-3.825254202E0
1.092868000E0,-6.089840889E0,1.879822135E0,-4.410040379E0
1.102892000E0,-5.892541409E0,1.823054552E0,-4.999664307E0
1.112916000E0,-5.774411678E0,2.002866745E0,-5.615180492E0
1.122939000E0,-5.734865189E0,2.371519804E0,-6.216051102E0
1.132963000E0,-5.746276855E0,2.750004053E0,-6.799754143E0
1.142987000E0,-5.709509850E0,3.060384035E0,-7.390920639E0
1.153011000E0,-5.560874939E0,3.328912735E0,-7.975508213E0
1.163035000E0,-5.306445122E0,3.489599705E0,-8.532305717E0
1.173059000E0,-4.954403877E0,3.464775562E0,-9.048809052E0
1.183083000E0,-4.548316002E0,3.427094936E0,-9.457639694E0
1.193106000E0,-4.106334209E0,3.545521736E0,-9.749397278E0
1.203130000E0,-3.708657980E0,3.885398388E0,-9.919365883E0
1.213154000E0,-3.378425121E0,4.297955513E0,-9.948822975E0
1.223178000E0,-3.040114164E0,4.712540627E0,-9.829827309E0
1.233202000E0,-2.604595423E0,5.053262234E0,-9.613148689E0
1.243226000E0,-2.056851864E0,5.230378151E0,-9.318513870E0
1.253250000E0,-1.455581307E0,5.175524235E0,-8.979758263E0
1.263273000E0,-8.456467986E-1,4.898306370E0,-8.621562004E0
1.273297000E0,-2.880607247E-1,4.538031101E0,-8.247864723E0
1.283321000E0,1.792888939E-1,4.268969059E0,-7.852115154E0
1.293345000E0,5.303004980E-1,4.162922859E0,-7.456404686E0
1.303369000E0,7.035780549E-1,4.300040245E0,-7.012596607E0
