"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.650958380E-3,1.741029510E0,-7.208410034E0,-5.950575714E0
8.372041630E-3,2.869233398E0,-8.405470734E0,-3.627107391E0
1.839604165E-2,4.059258728E0,-9.531878357E0,-1.520837402E0
2.842004166E-2,5.382507019E0,-1.065828598E1,3.028202820E-1
3.844404162E-2,7.138804779E0,-1.167886368E1,1.911375275E0
4.846704163E-2,9.032965851E0,-1.223301132E1,2.872376862E0
5.849104165E-2,1.043614792E1,-1.284089722E1,2.720442810E0
6.851504167E-2,1.140927429E1,-1.385922958E1,2.036664734E0
7.853804162E-2,1.291454407E1,-1.500704269E1,2.356848907E0
8.856204164E-2,1.485959930E1,-1.608300522E1,3.694916382E0
9.858604165E-2,1.686991882E1,-1.654853714E1,5.736969910E0
1.086090417E-1,1.852727234E1,-1.628104340E1,8.382568359E0
1.186330416E-1,1.981549347E1,-1.608989090E1,1.071471863E1
1.286570416E-1,2.107796814E1,-1.579859665E1,1.238000565E1
1.386810417E-1,2.209166016E1,-1.518592072E1,1.328577209E1
1.487040417E-1,2.155787018E1,-1.439975555E1,1.280182846E1
1.587280416E-1,1.887380173E1,-1.341480377E1,1.013811768E1
1.687520416E-1,1.771087006E1,-1.408286453E1,7.186705170E0
1.787750417E-1,1.762958908E1,-1.500749176E1,5.226681061E0
1.887990417E-1,1.794438446E1,-1.520238647E1,4.478087769E0
1.988230416E-1,1.893741943E1,-1.514176254E1,5.005441132E0
2.088460416E-1,1.992207184E1,-1.494088028E1,6.483317871E0
2.188700417E-1,2.044343765E1,-1.453537354E1,8.104147339E0
2.288940416E-1,2.056663147E1,-1.433389252E1,9.655221863E0
2.389180416E-1,2.040421921E1,-1.393137955E1,1.105271576E1
2.489410416E-1,2.052187454E1,-1.329580124E1,1.162961609E1
2.589650417E-1,2.116658386E1,-1.277548325E1,1.179532150E1
2.689890416E-1,2.073607910E1,-1.148426834E1,1.128712830E1
