"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.468333299E-3,1.200503540E-1,2.457888794E-1,9.745334473E0
1.149233332E-2,1.222956848E-1,2.372566223E-1,9.747729492E0
2.151633333E-2,1.242416382E-1,2.296224976E-1,9.741292877E0
3.154033329E-2,1.320254517E-1,2.338137817E-1,9.735455017E0
4.156533332E-2,1.281335449E-1,2.311193848E-1,9.732910309E0
5.158933334E-2,1.181044006E-1,2.453398132E-1,9.736502838E0
6.161333330E-2,1.134640503E-1,2.438429260E-1,9.733808441E0
7.163733331E-2,1.257385254E-1,2.290237427E-1,9.729617157E0
8.166133333E-2,1.175056458E-1,2.478845215E-1,9.723180542E0
9.168533335E-2,1.131646729E-1,2.586621094E-1,9.728120270E0
1.017093333E-1,1.264869690E-1,2.450404358E-1,9.730215912E0
1.117343333E-1,1.312770081E-1,2.362088013E-1,9.729168091E0
1.217583333E-1,1.284329224E-1,2.444416809E-1,9.723629608E0
1.317817083E-1,1.112187195E-1,2.421963501E-1,9.732910309E0
1.418057083E-1,1.236428833E-1,2.445913696E-1,9.747430115E0
1.518297083E-1,1.207987976E-1,2.321672058E-1,9.725575562E0
1.618537083E-1,1.202000427E-1,2.438429260E-1,9.746681671E0
1.718777083E-1,1.251397705E-1,2.477348328E-1,9.750423889E0
1.819017083E-1,1.252894592E-1,2.433938599E-1,9.714348907E0
1.919267083E-1,1.408570862E-1,2.380050659E-1,9.725276184E0
2.019507083E-1,1.287322998E-1,2.480342102E-1,9.744735718E0
2.119747083E-1,1.210981750E-1,2.493814087E-1,9.737101593E0
2.219987083E-1,1.237925720E-1,2.439926147E-1,9.723479919E0
2.320227083E-1,1.172062683E-1,2.363584900E-1,9.737251282E0
2.420467083E-1,1.218466187E-1,2.288740540E-1,9.740095367E0
2.520707083E-1,1.347198486E-1,2.405497742E-1,9.737101593E0
2.620957083E-1,1.368154907E-1,2.411485291E-1,9.733059998E0
2.721197083E-1,1.287322998E-1,2.245330811E-1,9.728419647E0
2.821437083E-1,1.228944397E-1,2.496807861E-1,9.749525757E0
2.921677083E-1,1.191522217E-1,2.469863892E-1,9.724378052E0
3.021917083E-1,1.218466187E-1,2.424957275E-1,9.729617157E0
3.122157083E-1,1.133143616E-1,2.424957275E-1,9.741891632E0
3.222397083E-1,1.136137390E-1,2.511776733E-1,9.742789764E0
3.322647083E-1,1.264869690E-1,2.433938599E-1,9.746531982E0
3.422887083E-1,1.233435059E-1,2.538720703E-1,9.729018402E0
3.523127083E-1,1.158590698E-1,2.432441711E-1,9.711804199E0
3.623367083E-1,1.218466187E-1,2.378553772E-1,9.731413422E0
3.723607083E-1,1.335223389E-1,2.390528870E-1,9.734257507E0
3.823847083E-1,1.264869690E-1,2.237846375E-1,9.727222137E0
3.924087083E-1,1.269360352E-1,2.335144043E-1,9.734107819E0
4.024337083E-1,1.184037781E-1,2.363584900E-1,9.725425873E0
4.124577083E-1,1.345701599E-1,2.439926147E-1,9.726773071E0
4.224817083E-1,1.194515991E-1,2.395019531E-1,9.741292877E0
4.325057083E-1,1.284329224E-1,2.468367004E-1,9.737999725E0
4.425297083E-1,1.321751404E-1,2.374063110E-1,9.728868713E0
4.525537083E-1,1.216969299E-1,2.341131592E-1,9.728419647E0
4.625777083E-1,1.312770081E-1,2.338137817E-1,9.741592255E0
4.726027083E-1,1.324745178E-1,2.417472839E-1,9.730964355E0
4.826267083E-1,1.206491089E-1,2.490820312E-1,9.742939453E0
4.926507083E-1,1.300794983E-1,2.342628479E-1,9.732610931E0
5.026747083E-1,1.187031555E-1,2.393522644E-1,9.715396729E0
5.126987083E-1,1.133143616E-1,2.432441711E-1,9.726922760E0
5.227227083E-1,1.190025330E-1,2.417472839E-1,9.733808441E0
5.327467083E-1,1.187031555E-1,2.460882568E-1,9.729467468E0
5.427707083E-1,1.263372803E-1,2.395019531E-1,9.736951904E0
5.527957083E-1,1.302291870E-1,2.378553772E-1,9.743388519E0
5.628197083E-1,1.402583313E-1,2.435435486E-1,9.746531982E0
5.728437083E-1,1.267863464E-1,2.456391907E-1,9.731263733E0
5.828677083E-1,1.270857239E-1,2.406994629E-1,9.730814667E0
5.928917083E-1,1.187031555E-1,2.478845215E-1,9.734407196E0
6.029157083E-1,1.246907043E-1,2.486329651E-1,9.740694122E0
6.129397083E-1,1.225950623E-1,2.360591125E-1,9.737999725E0
6.229647083E-1,1.300794983E-1,2.493814087E-1,9.733209686E0
6.329887083E-1,1.285826111E-1,2.483335876E-1,9.735155640E0
6.430127083E-1,1.225950623E-1,2.160008240E-1,9.733209686E0
6.530367083E-1,1.263372803E-1,2.365081787E-1,9.732161865E0
6.630607083E-1,1.276844788E-1,2.314187622E-1,9.740394745E0
6.730847083E-1,1.191522217E-1,2.511776733E-1,9.748777313E0
6.831087083E-1,1.157093811E-1,2.480342102E-1,9.736203461E0
6.931337083E-1,1.118174744E-1,2.556683350E-1,9.729018402E0
7.031577083E-1,1.237925720E-1,2.484832764E-1,9.741891632E0
7.131817083E-1,1.234931946E-1,2.293231201E-1,9.728269958E0
7.232057083E-1,1.263372803E-1,2.336640930E-1,9.724976807E0
7.332297083E-1,1.303788757E-1,2.230361938E-1,9.735005951E0
7.432537083E-1,1.320254517E-1,2.348616028E-1,9.726623383E0
7.532777083E-1,1.176553345E-1,2.320175171E-1,9.732161865E0
7.633017083E-1,1.185534668E-1,2.486329651E-1,9.735155640E0
7.733267083E-1,1.199006653E-1,2.531236267E-1,9.738897858E0
7.833507083E-1,1.175056458E-1,2.528242493E-1,9.732461243E0
7.933747083E-1,1.275347900E-1,2.406994629E-1,9.729317780E0
8.033987083E-1,1.311273193E-1,2.327659607E-1,9.736802216E0
8.134227083E-1,1.284329224E-1,2.344125366E-1,9.733059998E0
8.234467083E-1,1.345701599E-1,2.296224976E-1,9.731114044E0
8.334707083E-1,1.210981750E-1,2.231858826E-1,9.726473694E0
8.434957083E-1,1.139131165E-1,2.409988403E-1,9.734257507E0
8.535197083E-1,1.188528442E-1,2.451901245E-1,9.733509064E0
8.635437083E-1,1.291813660E-1,2.456391907E-1,9.730515289E0
8.735677083E-1,1.248403931E-1,2.309696960E-1,9.731114044E0
8.835917083E-1,1.142124939E-1,2.484832764E-1,9.726174316E0
8.936157083E-1,1.275347900E-1,2.546205139E-1,9.743687897E0
9.036397083E-1,1.202000427E-1,2.389031982E-1,9.743238831E0
9.136637083E-1,1.188528442E-1,2.354603577E-1,9.741592255E0
9.236887083E-1,1.260379028E-1,2.296224976E-1,9.740993500E0
