"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.098874972E-3,9.019346908E-4,-7.533028256E-4,-3.592171997E-4
1.512187498E-2,-4.756485578E-4,-1.274331240E-3,5.623996258E-4
2.514587500E-2,8.780392818E-6,-7.662000135E-4,-1.212597243E-3
3.516987502E-2,-4.838082241E-4,-5.650124513E-5,-7.620010292E-4
4.519387498E-2,7.593553164E-4,-1.154789003E-3,1.293692971E-3
5.521787499E-2,-1.265215105E-4,-1.238984987E-4,1.098886947E-3
6.524187501E-2,7.485932438E-4,-8.346962277E-4,1.504220068E-3
7.526587497E-2,-3.972421982E-4,5.098073743E-4,-1.113385428E-3
8.528987499E-2,-8.491806802E-4,3.271144815E-4,8.706695517E-4
9.531387500E-2,-2.659134916E-4,8.091516793E-5,-4.426540108E-4
1.053368750E-1,-1.650491031E-3,-3.305433784E-4,-8.280134061E-4
1.153608750E-1,3.202833759E-4,1.437914674E-3,-1.944170945E-4
1.253848750E-1,4.577024956E-4,-8.345607203E-4,1.160599291E-3
1.354088750E-1,2.621086023E-4,-8.513831999E-4,-3.909839434E-4
1.454328750E-1,-1.213866053E-4,1.358506270E-4,-1.267983462E-4
1.554568750E-1,-6.797028473E-4,-1.531676389E-5,5.848529399E-4
1.654808750E-1,-6.416196702E-4,1.042757183E-3,1.398387103E-4
1.755048750E-1,5.611853558E-4,2.526831813E-4,-2.197385184E-4
1.855288750E-1,1.101540751E-3,3.048810177E-4,-1.117490116E-3
1.955518750E-1,-3.237736528E-4,-1.257886877E-3,-7.915981696E-4
2.055758750E-1,6.922223256E-4,1.852798741E-4,7.660847623E-4
2.155998750E-1,-2.742335782E-4,5.304838996E-4,1.152366982E-3
2.256238750E-1,2.948839683E-4,9.776286315E-4,3.843113664E-4
2.356478750E-1,-6.577218883E-4,4.503189120E-4,-9.718755609E-4
2.456718750E-1,-9.991390398E-4,2.822733950E-4,8.081812994E-4
2.556958750E-1,1.328002894E-3,3.624823876E-4,1.243662788E-3
2.657198750E-1,5.226629437E-4,2.587287221E-3,2.026632195E-3
2.757438750E-1,3.259739897E-4,6.922662724E-4,-1.260521938E-3
2.857668750E-1,9.371694759E-4,-7.359872106E-4,-9.485631017E-5
2.957908750E-1,5.325714592E-4,-2.605563495E-4,9.255878394E-4
3.058148750E-1,-1.180640073E-3,-3.284669947E-4,1.150624943E-3
3.158388750E-1,-1.341504045E-3,8.178525604E-5,6.282673567E-4
3.258628750E-1,-1.196361729E-3,5.166796036E-4,-5.472518969E-4
3.358868750E-1,-3.690262674E-4,7.798220031E-5,4.191797343E-4
3.459116250E-1,-6.614412996E-4,3.963266499E-5,5.976115353E-4
3.559356250E-1,-3.355026711E-4,-2.835756168E-4,8.052575286E-4
3.659586250E-1,-1.125960844E-4,4.511903971E-4,1.755739562E-3
3.759826250E-1,-6.626365939E-5,-1.033645822E-3,-5.505046574E-4
3.860066250E-1,-4.505577963E-4,8.848954458E-4,2.660205646E-4
3.960306250E-1,4.159510718E-4,2.713107970E-4,-2.488024475E-4
4.060546250E-1,1.230079448E-3,3.043340985E-4,-1.257644035E-4
4.160786250E-1,6.878487766E-4,8.143966552E-4,9.918166324E-4
4.261026250E-1,-5.923327990E-4,2.647202928E-4,-6.702621467E-4
4.361266250E-1,-3.189517884E-5,-1.394998981E-3,1.865606522E-3
4.461506250E-1,-3.375939559E-5,-1.380085247E-3,3.116520529E-4
4.561736250E-1,9.084976045E-5,2.765110694E-4,6.753260968E-4
4.661976250E-1,1.355908462E-4,-1.092353603E-3,-1.385359647E-4
4.762216250E-1,2.199268434E-3,9.929112857E-4,9.954039706E-4
4.862456250E-1,-6.937235012E-4,4.264570307E-4,9.887460619E-4
4.962696250E-1,-1.285093604E-4,1.555944327E-4,-2.872272744E-4
5.062936250E-1,1.063814270E-4,-1.543976832E-4,-7.122678217E-4
5.163176250E-1,6.286122953E-4,6.771089975E-4,-1.267779851E-3
5.263416250E-1,-4.214721266E-4,-4.454134032E-4,4.566169810E-4
5.363646250E-1,7.784168702E-5,-3.627254628E-4,-1.666772005E-4
5.463886250E-1,5.833096220E-4,1.325186109E-3,1.798000594E-4
5.564126250E-1,-4.493814195E-4,-4.365621135E-5,5.319521297E-4
5.664366250E-1,4.760670126E-4,5.249287933E-4,2.563149610E-4
5.764606250E-1,-1.384881325E-3,1.380043104E-3,-7.822980406E-4
5.864846250E-1,3.271916648E-5,-1.021062955E-3,1.504558371E-3
5.965086250E-1,1.521019032E-3,1.767545240E-3,4.987162538E-4
6.065326250E-1,-5.293486174E-4,2.359612845E-4,-2.632141113E-4
6.165566250E-1,-1.372530824E-3,-9.799485561E-4,2.051585470E-4
6.265796250E-1,-7.583777187E-5,8.610946825E-4,2.056911471E-4
6.366036250E-1,9.531524847E-4,-4.199880641E-4,-1.101604314E-3
6.466276250E-1,-4.697745317E-4,-5.773808807E-4,-4.374119453E-4
6.566516250E-1,1.341673895E-3,-1.267080661E-4,-8.066351293E-4
6.666756250E-1,-1.147825969E-5,3.734277561E-5,2.221439790E-4
6.766996250E-1,1.524223946E-3,-1.643947326E-5,9.523007320E-4
6.867236250E-1,7.175524952E-4,1.685853000E-3,7.399023161E-5
6.967476250E-1,4.839979520E-4,-1.648896607E-3,-1.322393073E-3
7.067706250E-1,4.938516649E-4,2.664485946E-4,-5.206529750E-5
7.167946250E-1,4.759005969E-5,3.797621466E-4,-3.105106007E-4
7.268186250E-1,8.611857775E-4,-7.443581708E-4,6.077473518E-4
7.368426250E-1,9.152803104E-4,-3.260802478E-4,-1.186815789E-3
7.468666250E-1,-2.415968338E-4,3.469006624E-4,1.607437152E-4
7.568906250E-1,4.587834701E-5,-1.864885446E-3,-7.992360624E-4
7.669146250E-1,1.603942655E-4,2.400772646E-4,2.250156831E-4
7.769386250E-1,-1.548308996E-3,4.385050852E-4,8.315656451E-4
7.869626250E-1,1.712940866E-4,-8.091859054E-4,4.941431107E-4
7.969856250E-1,-1.000102493E-4,6.320090033E-4,-3.871999506E-4
8.070096250E-1,-2.843010006E-4,-4.673437215E-4,-4.689589841E-4
8.170336250E-1,-3.661084920E-4,-4.324805923E-4,-2.326111862E-4
8.270576250E-1,1.556960167E-3,-1.265517203E-3,6.720646634E-4
8.370816250E-1,1.103878720E-3,1.552435569E-4,-1.559153170E-4
8.471056250E-1,4.343600885E-4,2.995869145E-4,-1.814816642E-4
8.571296250E-1,-8.882741677E-4,-1.064758981E-3,6.425665924E-5
8.671536250E-1,4.436488962E-5,-1.224016072E-3,1.761489199E-3
8.771766250E-1,-3.032638924E-4,-2.672469709E-4,9.553183336E-4
8.872006250E-1,7.958227070E-4,-1.591227483E-4,1.001772180E-4
8.972246250E-1,1.887132530E-4,-1.121335663E-4,1.420142362E-3
9.072486250E-1,-1.092944876E-4,6.150454283E-5,6.685983390E-4
9.172726250E-1,6.988479290E-4,-5.298387259E-5,-1.427440089E-3
9.272966250E-1,1.458914019E-3,7.233275101E-4,3.667315177E-4
9.373206250E-1,3.027292842E-4,-9.679421782E-4,-8.403967367E-4
9.473446250E-1,-1.032046974E-3,4.416690208E-4,-2.101403661E-3
9.573676250E-1,-7.784191985E-5,8.439993253E-4,-5.000402452E-4
9.673916250E-1,8.976740064E-4,2.125245985E-3,-3.370548075E-4
9.774156250E-1,1.239987614E-4,-2.074384131E-3,9.148258250E-4
9.874396250E-1,1.475819387E-3,8.757016622E-5,-3.994441649E-4
9.974636250E-1,-9.428412886E-4,8.331097197E-4,-5.122696166E-5
1.007487625E0,9.951409884E-4,-1.511946321E-4,3.578345932E-4
1.017511625E0,1.897456823E-3,4.694114905E-4,-1.089125173E-3
1.027535625E0,1.392378763E-4,4.750040825E-4,4.864009388E-4
1.037559625E0,5.776917096E-4,6.756328512E-4,-6.934828125E-4
1.047582625E0,1.709268894E-3,1.682840288E-3,3.616616013E-4
1.057606625E0,1.278348267E-3,4.609676544E-4,3.554051218E-4
1.067630625E0,1.694600331E-3,2.138263080E-4,-1.914407010E-3
1.077654625E0,6.671005394E-4,1.031353604E-3,4.395644646E-5
1.087678625E0,-7.281295839E-4,-2.328490373E-4,8.018920780E-4
1.097702625E0,-4.265026655E-5,-2.753667068E-4,7.866516244E-4
1.107726625E0,-1.589147840E-3,1.105748583E-3,5.267271190E-4
1.117750625E0,8.607527707E-4,-4.653534852E-4,-1.098497072E-3
1.127773625E0,1.303902827E-3,-1.353877597E-4,3.830193600E-4
1.137797625E0,2.879742533E-4,2.835611813E-4,-1.153680147E-3
1.147821625E0,3.843806917E-4,7.876404561E-5,3.968231613E-5
1.157845625E0,-1.592714107E-4,6.768130697E-5,-2.192162792E-4
1.167869625E0,5.043883575E-4,7.265473250E-4,-1.806004439E-4
1.177893625E0,-2.530372003E-3,5.466903094E-4,7.251906791E-4
1.187917625E0,-1.084009418E-3,-1.470418647E-5,-2.585810726E-4
1.197941625E0,2.048563038E-4,5.864268169E-4,-6.111192051E-4
1.207964625E0,1.265593455E-4,-5.938862450E-4,1.258153585E-3
1.217988625E0,1.416626328E-4,1.367926481E-3,-7.961984375E-5
1.228012625E0,-6.692699390E-4,-1.253156457E-3,-7.062616642E-4
1.238036625E0,-9.008847410E-4,7.390636019E-4,-9.924003389E-4
1.248060625E0,-5.248464877E-4,-3.946439829E-4,5.181446904E-4
1.258084625E0,-4.012569843E-4,-3.882076126E-4,2.068699338E-3
1.268108625E0,6.427021581E-4,5.622745957E-4,-1.361452276E-3
1.278132625E0,-1.249870751E-3,-1.134451712E-3,-2.386324923E-5
1.288155625E0,-1.067177858E-3,3.145742230E-4,-5.322606885E-4
1.298179625E0,-3.144833609E-4,-1.669665799E-4,7.388076629E-4
1.308203625E0,-6.492426619E-4,7.672703359E-4,1.233090414E-3
1.318227625E0,-9.746436845E-4,3.326172009E-4,6.815779489E-4
1.328251625E0,-1.330708386E-3,-1.199590042E-5,-6.393499789E-4
1.338275625E0,-1.049070153E-3,1.219817204E-3,-2.279801847E-4
1.348299708E0,1.480208011E-4,-2.246813383E-4,-3.691277234E-4
1.358323708E0,-2.319142513E-4,-2.193827881E-3,-1.257097756E-4
1.368346708E0,-9.182108333E-4,-3.048477229E-4,9.478104766E-4
1.378370708E0,3.468772047E-4,-5.603679456E-4,-1.321987249E-3
1.388394708E0,-4.275700485E-4,-9.830947965E-5,-1.408752869E-4
1.398418708E0,1.371742983E-4,-1.407379983E-3,-1.824616687E-3
1.408442708E0,-8.708321839E-4,8.467194857E-4,-3.162023495E-4
1.418466708E0,2.472132910E-4,2.047258895E-4,4.386922810E-4
1.428490708E0,-1.996651117E-4,4.653423093E-5,-8.470818866E-4
1.438514708E0,-1.183479559E-3,-7.275792304E-4,-1.593697816E-3
1.448537708E0,-9.318108205E-4,-5.752779543E-5,7.797112921E-4
1.458561708E0,-1.112840488E-3,-8.590645157E-4,-6.174523151E-5
1.468585708E0,-1.833758201E-3,1.338309608E-3,-6.090248353E-4
1.478609708E0,6.775767542E-5,-6.936951540E-4,4.334753903E-4
1.488633708E0,-8.377170889E-4,4.493335728E-4,7.770231459E-4
1.498657708E0,8.980152197E-4,9.667617269E-5,-5.117603578E-4
1.508681708E0,1.204811386E-3,1.811282709E-5,-6.568091339E-5
1.518705708E0,1.171596115E-3,2.260752954E-4,1.660346170E-4
1.528728708E0,-1.133103506E-3,-1.350492239E-4,-1.620668336E-4
1.538752708E0,-1.799270976E-4,5.137436092E-4,1.069161692E-3
1.548776708E0,1.194796641E-3,-2.511162311E-4,-3.036979178E-4
1.558800708E0,1.224694774E-3,8.248824161E-4,3.191138967E-4
1.568824708E0,6.984541542E-4,4.227450117E-4,3.785023582E-4
1.578848708E0,2.347300906E-4,-4.651898053E-4,3.569734399E-4
1.588872708E0,2.254471416E-3,-1.393035287E-3,-4.262622388E-4
1.598896708E0,1.614250243E-3,-2.517616376E-4,2.344809007E-3
1.608919708E0,-6.584913353E-4,-2.871816978E-4,6.086943322E-4
1.618943708E0,-9.469154757E-4,-3.929063678E-5,2.758146496E-3
1.628967708E0,-1.156239887E-3,-1.127458410E-3,9.746274445E-4
1.638991708E0,-6.649212446E-4,1.696427353E-5,-6.669202121E-4
1.649015708E0,-1.444694819E-3,3.501255997E-4,4.731790395E-4
1.659039708E0,-4.936172627E-4,1.001884928E-3,-1.260781777E-3
1.669063708E0,-2.028000017E-4,2.604608890E-4,-4.008470278E-4
1.679087708E0,4.116152704E-4,8.094015066E-4,-3.676644410E-4
1.689110708E0,1.474296732E-4,-1.360275783E-3,-8.518270915E-4
1.699134708E0,-6.257620407E-4,1.509859692E-3,1.232026261E-3
1.709158708E0,-4.055186291E-4,-4.084152170E-4,8.180693840E-5
