"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.843750011E-3,3.308120728E-2,9.811047821E0,1.526824951E-2
8.180250006E-3,3.113525391E-2,9.808203735E0,3.008743286E-2
1.820424997E-2,3.996688843E-2,9.811347198E0,1.107696533E-2
2.822824998E-2,3.038681030E-2,9.790390778E0,-1.706451416E-2
3.825225000E-2,2.200424194E-2,9.801916809E0,-3.068618774E-2
4.827724997E-2,1.721420288E-2,9.801168365E0,-2.918930054E-2
5.830124998E-2,8.981323242E-3,9.802515564E0,-6.586303711E-3
6.832525000E-2,1.975891113E-2,9.803862762E0,3.487747192E-2
7.834924996E-2,2.694396973E-2,9.811796265E0,4.565505981E-2
8.837324998E-2,3.263214111E-2,9.802814941E0,4.505630493E-2
9.839725000E-2,3.053649902E-2,9.807754669E0,3.158432007E-2
1.084222500E-1,1.811233521E-2,9.803862762E0,2.095642090E-3
1.184462500E-1,3.727249146E-2,9.795929260E0,-1.377136230E-2
1.284702500E-1,4.176315308E-2,9.802665253E0,-2.335144043E-2
1.384942500E-1,5.104385376E-2,9.807754669E0,-4.924758911E-2
1.485182500E-1,3.981719971E-2,9.803413696E0,-1.257385254E-2
1.585422500E-1,2.350112915E-2,9.806407471E0,1.347198486E-3
1.685672500E-1,2.739303589E-2,9.795180817E0,3.861968994E-2
1.785912500E-1,3.637435913E-2,9.812544708E0,3.847000122E-2
1.886152500E-1,2.814147949E-2,9.813293152E0,2.978805542E-2
1.986392500E-1,2.245330811E-2,9.799372101E0,7.035369873E-3
2.086632500E-1,3.397933960E-2,9.807155914E0,-1.437011719E-2
2.186872500E-1,2.948867798E-2,9.824819183E0,-2.080673218E-2
2.287122500E-1,4.790039063E-2,9.820328522E0,-1.631607056E-2
2.387362500E-1,3.278182983E-2,9.805359650E0,6.137237549E-3
2.487602500E-1,2.290237427E-2,9.809700623E0,9.729766846E-3
2.587842500E-1,2.874023438E-2,9.794881439E0,3.742218018E-3
2.688082500E-1,1.706451416E-2,9.800419922E0,2.080673218E-2
2.788322500E-1,1.556762695E-2,9.803563385E0,2.784210205E-2
2.888562500E-1,1.526824951E-2,9.792785797E0,1.167572021E-2
2.988812500E-1,2.529739380E-2,9.804311829E0,1.437011719E-2
3.089052500E-1,1.317260742E-2,9.814939728E0,3.847000122E-2
3.189292500E-1,4.385879517E-2,9.808802490E0,1.631607056E-2
3.289532500E-1,6.032455444E-2,9.809550934E0,-3.143463135E-3
3.389772500E-1,3.293151855E-2,9.799222412E0,-6.885681152E-3
3.490012500E-1,2.155517578E-2,9.805808716E0,-2.005828857E-2
3.590262500E-1,2.694396973E-2,9.808353424E0,-1.451980591E-2
3.690502500E-1,2.694396973E-3,9.816286926E0,-1.077758789E-2
3.790742500E-1,1.751358032E-2,9.798473969E0,6.286926270E-3
3.890982500E-1,2.844085693E-2,9.805509338E0,4.610412598E-2
3.991222500E-1,4.805007935E-2,9.812395020E0,4.700225830E-2
4.091462500E-1,3.951782227E-2,9.788594513E0,3.667373657E-2
4.191702500E-1,2.305206299E-2,9.800719299E0,-9.430389404E-3
4.291952500E-1,1.017883301E-2,9.815837860E0,-2.230361938E-2
4.392192500E-1,1.586700439E-2,9.798024902E0,-3.053649902E-2
4.492432500E-1,3.682342529E-2,9.798024902E0,-2.200424194E-2
4.592672500E-1,2.454895020E-2,9.801916809E0,2.559677124E-2
4.692912500E-1,2.769241333E-2,9.796827393E0,2.933898926E-2
4.793152500E-1,3.487747192E-2,9.808203735E0,4.924758911E-2
4.893402500E-1,3.921844482E-2,9.811496887E0,1.841171265E-2
4.993642500E-1,2.065704346E-2,9.804012451E0,-2.993774414E-4
