"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
-5.907500163E-4,6.719661760E-4,-6.450219080E-4,1.081555311E-4
9.433250001E-3,2.552903316E-4,-3.590420820E-4,-1.871852437E-4
1.945724996E-2,6.350571057E-4,1.261225087E-3,1.184609020E-3
2.948124998E-2,2.583554247E-3,-6.295526400E-4,4.539088695E-4
3.950525000E-2,-2.359272679E-3,1.361060422E-4,1.689506316E-4
4.953024996E-2,-2.881351393E-3,-8.837000933E-4,8.312256978E-5
5.955424998E-2,-2.786010504E-3,1.325272024E-5,7.585002459E-4
6.957825000E-2,-8.141918806E-4,6.082621403E-4,-1.070897211E-3
7.960224996E-2,7.237836835E-4,-4.460832570E-4,1.647141471E-5
8.962624997E-2,2.365231048E-3,3.387453035E-5,-1.356569235E-3
9.965024999E-2,3.759129671E-3,6.948711816E-4,2.413274051E-4
1.096752500E-1,3.006252227E-3,-8.094029035E-4,-1.110830053E-4
1.196992500E-1,1.205689041E-3,8.010107558E-4,6.127641536E-4
1.297232500E-1,-1.556260046E-3,1.064784243E-3,-1.467016060E-3
1.397472500E-1,-1.720044296E-3,-8.926391602E-4,-4.302381421E-5
1.497712500E-1,-1.469937852E-3,7.054139860E-5,-2.303512883E-5
1.597952500E-1,-1.013738336E-3,-3.246718552E-4,-2.565555042E-3
1.698202500E-1,5.470628385E-4,-7.950398140E-4,2.448133600E-4
1.798442500E-1,9.819570696E-4,2.702246420E-4,-1.196223078E-3
1.898682500E-1,2.515561879E-3,-1.341609750E-4,1.168447314E-3
1.998922500E-1,1.943514682E-3,-6.071384996E-4,-1.386323012E-3
2.099162500E-1,1.291094581E-3,4.587753210E-4,-4.993946641E-4
2.199402500E-1,-2.214957029E-3,-2.376413904E-4,-5.827516434E-4
2.299652500E-1,-1.654523658E-5,5.083975848E-4,6.880550645E-4
2.399892500E-1,-1.626159763E-3,-8.950880729E-4,1.575952978E-3
2.500132500E-1,-1.182481414E-3,-3.048430663E-4,-2.594618709E-4
2.600372500E-1,-5.073701032E-4,-8.380080108E-4,-1.162007218E-3
2.700612500E-1,2.122838923E-4,-3.384549636E-4,-2.332634613E-4
2.800852500E-1,1.552919159E-3,-6.468221545E-5,3.339898540E-4
2.901092500E-1,-1.520114951E-3,-2.108302200E-3,-5.699831527E-4
3.001342500E-1,7.121467497E-4,3.580888733E-5,3.376221284E-4
3.101582500E-1,1.987476833E-3,-1.426003873E-4,-8.694835706E-4
3.201822500E-1,2.410919406E-3,1.156755956E-3,-5.786663387E-4
3.302062500E-1,3.250270616E-3,-7.905033417E-4,1.150969532E-3
3.402302500E-1,1.436657854E-3,-7.597729564E-5,5.108404730E-5
3.502542500E-1,-1.372879837E-3,1.125994604E-4,8.669537492E-4
3.602792500E-1,-3.355786903E-4,9.251299780E-4,1.018275652E-4
3.703032500E-1,-1.617392292E-3,-1.637947047E-3,1.771392068E-3
3.803272500E-1,-1.780377701E-3,-1.423562644E-3,7.284982130E-4
3.903512500E-1,1.044533914E-3,1.160135027E-3,9.800151456E-4
4.003752500E-1,2.027773065E-3,-2.068656031E-4,-2.350001596E-3
4.103992500E-1,2.445375547E-3,5.378182977E-4,7.800866733E-4
4.204232500E-1,2.221670002E-3,2.027856885E-3,-5.831854651E-4
