"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.974583138E-4,-6.981481934E-1,-7.030280457E0,-3.230731659E0
9.825541638E-3,-2.158810730E0,-7.363637238E0,-4.260140991E0
1.984954166E-2,-3.391048279E0,-7.711962891E0,-4.388124847E0
2.987354167E-2,-4.583019562E0,-8.172106018E0,-3.595373383E0
3.989654168E-2,-5.502856750E0,-8.456813965E0,-2.538271637E0
4.992054164E-2,-5.306315460E0,-8.975934448E0,-1.484612732E0
5.994454166E-2,-5.813161469E0,-9.731712799E0,-8.421487427E-1
6.996754167E-2,-7.054829407E0,-1.051668045E1,-1.180894318E0
7.999154169E-2,-8.628955994E0,-1.147872986E1,-2.144141235E0
9.001454164E-2,-9.851912842E0,-1.192944260E1,-3.765719147E0
1.000385417E-1,-9.832153931E0,-1.143771515E1,-5.890999603E0
1.100625417E-1,-9.077423401E0,-1.066981201E1,-6.176006927E0
1.200855417E-1,-7.450456696E0,-9.678423615E0,-4.991969147E0
1.301095416E-1,-6.324498138E0,-8.962761841E0,-3.787573700E0
1.401335417E-1,-6.249504089E0,-8.611143036E0,-2.489622803E0
1.501565417E-1,-6.848408661E0,-8.809779968E0,-1.690584412E0
1.601805417E-1,-7.034022675E0,-8.879385223E0,-9.095086670E-1
1.702045416E-1,-6.896309052E0,-8.991801453E0,-2.185455322E-2
1.802275417E-1,-6.577921143E0,-9.058862000E0,6.619235229E-1
1.902515417E-1,-6.037245483E0,-8.962761841E0,7.807763672E-1
2.002755416E-1,-4.968318329E0,-8.578660583E0,9.819580078E-1
2.102985416E-1,-3.579506378E0,-8.176297302E0,9.192384338E-1
2.203225417E-1,-2.405198364E0,-7.769742737E0,1.076261902E-1
2.303455417E-1,-1.755399628E0,-7.314988403E0,-1.447639618E0
2.403695417E-1,-1.888622589E0,-7.248676300E0,-2.539618835E0
2.503935416E-1,-2.423610077E0,-7.596103821E0,-2.399061127E0
2.604165417E-1,-2.019899597E0,-8.287965088E0,-1.675465851E0
2.704405417E-1,-1.090482330E0,-8.706045685E0,-7.408094788E-1
2.804645416E-1,8.607101440E-2,-8.657396851E0,6.571334839E-2
2.904875416E-1,8.553213501E-1,-8.605903931E0,3.248245239E-1
3.005115417E-1,1.826950836E0,-8.531209259E0,-6.466552734E-1
3.105355417E-1,3.294049988E0,-8.614585876E0,-2.217189331E0
3.205585417E-1,4.528981934E0,-8.263266449E0,-3.791764984E0
3.305825416E-1,5.359005890E0,-7.436535645E0,-5.694158936E0
3.406055417E-1,6.474785614E0,-7.070696411E0,-5.985303497E0
3.506295000E-1,7.740852814E0,-6.853797455E0,-4.242028656E0
3.606535000E-1,9.185199280E0,-6.922953644E0,-2.325563965E0
3.706765000E-1,1.124776016E1,-7.322323151E0,-6.358776855E-1
3.807005000E-1,1.366179016E1,-6.829996948E0,4.562512207E-1
3.907245000E-1,1.581027237E1,-5.492977295E0,2.055226135E-1
4.007475000E-1,1.698622696E1,-4.774621124E0,-1.298250275E0
4.107715000E-1,1.691108322E1,-4.973407745E0,-3.855532379E0
4.207955000E-1,1.689880875E1,-5.506000214E0,-5.483846283E0
4.308185000E-1,1.756492355E1,-6.033802643E0,-5.200186157E0
4.408425000E-1,1.860331421E1,-5.990991669E0,-3.570075989E0
4.508655000E-1,1.986788452E1,-5.517825623E0,-2.522554321E0
4.608895000E-1,2.036919205E1,-4.988526306E0,-3.558849335E0
4.709135000E-1,2.047083069E1,-4.571194153E0,-5.054838409E0
4.809365000E-1,2.059387482E1,-4.038002930E0,-5.069807281E0
4.909605000E-1,2.057082275E1,-3.596720581E0,-5.013224945E0
5.009845000E-1,2.108335693E1,-3.558250580E0,-4.728217621E0
5.110075000E-1,2.236184830E1,-2.440824280E0,-3.176544342E0
5.210315000E-1,2.282094360E1,-1.124611359E0,-4.721481628E0
5.310545000E-1,2.192775101E1,-1.529818726E-1,-9.009165344E0
5.410785000E-1,2.061528030E1,7.743397522E-1,-1.140134079E1
5.511025000E-1,2.008373566E1,1.112486572E0,-1.065918411E1
5.611255000E-1,2.035811508E1,1.033001862E0,-8.336164856E0
5.711495000E-1,2.155517578E1,9.719288635E-1,-5.454656982E0
5.811735000E-1,2.097797607E1,1.077459412E0,-2.986140289E0
5.911965000E-1,1.949785400E1,1.238674164E0,-2.987786865E0
6.012205000E-1,1.918171143E1,-2.674937439E-1,-4.268822937E0
6.112445000E-1,1.769066208E1,-2.046095123E0,-5.838608551E0
6.212675000E-1,1.592403580E1,-2.775677948E0,-7.313940582E0
6.312915000E-1,1.585727463E1,-2.497256927E0,-7.347620544E0
6.413145000E-1,1.748678604E1,-1.781445465E0,-5.028044128E0
6.513385000E-1,2.111628845E1,-1.551074524E0,-1.997296600E0
6.613625000E-1,2.278082703E1,-2.379751282E0,-9.093589783E-1
6.713855000E-1,2.130115402E1,-2.595901794E0,-3.023113403E0
6.814095000E-1,2.011756531E1,-3.064726868E0,-5.771548004E0
6.914335000E-1,1.875914017E1,-3.491489410E0,-7.109765167E0
7.014565000E-1,1.726749207E1,-3.064577179E0,-6.863227844E0
7.114805000E-1,1.762809219E1,-2.757715302E0,-5.928721161E0
7.215045000E-1,1.950473969E1,-2.850671997E0,-4.436923370E0
7.315275000E-1,2.232292923E1,-2.511926422E0,-1.161135406E0
7.415515000E-1,2.371278900E1,-2.905757446E0,2.384241943E0
