"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.560416172E-4,-1.921802998E0,-5.467968464E0,4.470710278E0
1.087904163E-2,-1.955042243E0,-5.284543037E0,4.907973289E0
2.090304164E-2,-1.893671393E0,-5.046504021E0,5.322949409E0
3.092704166E-2,-1.758923411E0,-4.697186947E0,5.691320419E0
4.095104162E-2,-1.605268598E0,-4.269761086E0,5.944513798E0
5.097404163E-2,-1.553454399E0,-3.852106571E0,6.109440804E0
6.099804165E-2,-1.752874970E0,-3.477938414E0,6.322075844E0
7.102204167E-2,-2.185015678E0,-3.005391359E0,6.563590527E0
8.104504162E-2,-2.749407053E0,-2.345670938E0,6.782503128E0
9.106904163E-2,-3.361653328E0,-1.587815404E0,6.924222469E0
1.010930417E-1,-3.845788002E0,-7.265348434E-1,6.928568840E0
1.111160417E-1,-4.131591320E0,1.010988876E-1,6.780576706E0
1.211400416E-1,-4.171802998E0,7.888157964E-1,6.463893414E0
1.311640416E-1,-3.967037678E0,1.315129161E0,5.990905762E0
1.411880417E-1,-3.623691082E0,1.718995810E0,5.428777218E0
1.512110417E-1,-3.435560226E0,1.910219789E0,5.060658455E0
1.612350416E-1,-3.561343431E0,2.000334024E0,4.829968929E0
1.712590416E-1,-3.989773035E0,2.114446163E0,4.623836994E0
1.812820417E-1,-4.599042416E0,2.255971909E0,4.456770897E0
1.913060417E-1,-5.234092712E0,2.417997122E0,4.233369350E0
2.013300416E-1,-5.767249584E0,2.629262686E0,3.926481724E0
2.113530416E-1,-6.157351494E0,2.859706163E0,3.549640179E0
2.213770417E-1,-6.385344505E0,3.089737415E0,3.157013416E0
2.314010416E-1,-6.492529392E0,3.401791096E0,2.748331070E0
2.414250416E-1,-6.523458481E0,3.718933821E0,2.307420731E0
2.514480416E-1,-6.469581604E0,3.948323488E0,1.738349557E0
2.614720417E-1,-6.395933628E0,4.081316948E0,1.173963070E0
2.714960416E-1,-6.380439281E0,4.161250114E0,5.969972610E-1
2.815190416E-1,-6.410322189E0,4.290944576E0,9.696842171E-3
2.915430416E-1,-6.486907005E0,4.522114277E0,-5.273623466E-1
3.015670417E-1,-6.579043865E0,4.841135025E0,-1.017937779E0
3.115910416E-1,-6.632158279E0,5.241503239E0,-1.524110436E0
3.216140416E-1,-6.624964237E0,5.601258755E0,-2.047846794E0
3.316380417E-1,-6.569483280E0,5.809254646E0,-2.554191113E0
3.416620417E-1,-6.455915928E0,5.812764168E0,-3.074171066E0
3.516850416E-1,-6.302114010E0,5.612773418E0,-3.528135061E0
