"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.149233332E-2,6.864762981E-4,-1.519727521E-4,-3.151723067E-4
2.151633333E-2,1.696193125E-3,-1.414963044E-4,2.841755049E-4
3.154033329E-2,-8.055804064E-4,4.385400098E-4,5.020220997E-4
4.156533332E-2,-3.865589388E-4,-2.982865553E-4,-1.352006802E-5
5.158933334E-2,5.926853046E-4,-5.203941837E-4,7.638566312E-4
6.161333330E-2,-1.598464441E-4,4.698764533E-4,5.765239475E-4
7.163733331E-2,8.436542703E-5,1.011030865E-3,1.352036488E-3
8.166133333E-2,-2.346752677E-3,-5.612045061E-4,-8.765744278E-4
9.168533335E-2,-5.909719039E-5,5.718134344E-5,2.209142403E-4
1.017093333E-1,-1.782300184E-3,7.963129319E-4,-3.534062416E-4
1.117343333E-1,-7.780220476E-4,1.255974523E-3,6.375559606E-4
1.217583333E-1,-6.295191706E-4,1.061937422E-3,1.142277179E-4
1.317817083E-1,7.851520204E-4,8.209213847E-4,-5.486330483E-4
1.418057083E-1,-7.000037585E-4,-8.982266299E-4,6.342323031E-4
1.518297083E-1,-6.251689629E-4,6.011330988E-4,8.366325637E-4
1.618537083E-1,-5.111808423E-5,-1.165387686E-3,-8.339100168E-4
1.718777083E-1,3.552803246E-4,1.176063553E-3,-2.557377447E-4
1.819017083E-1,-8.679135935E-4,-5.042615812E-4,-2.629659139E-4
1.919267083E-1,-1.549853478E-4,-8.536684327E-4,-3.686934360E-4
2.019507083E-1,8.444814011E-4,-1.278258860E-4,-4.974376643E-4
2.119747083E-1,-3.930895473E-4,-3.762987908E-4,-5.070250481E-4
2.219987083E-1,-8.829960716E-4,4.757354036E-4,9.249630966E-4
2.320227083E-1,2.269387711E-3,1.115160412E-3,-9.730717866E-4
2.420467083E-1,1.395239029E-3,-5.742695648E-4,-8.489395259E-5
2.520707083E-1,-6.705750129E-4,-2.533586230E-4,6.538669113E-4
2.620957083E-1,5.489822361E-4,1.244237646E-4,-4.959697253E-4
2.721197083E-1,2.094947267E-3,5.172400270E-4,-2.842484100E-4
2.821437083E-1,-1.392590348E-3,8.204003097E-4,1.771647367E-4
2.921677083E-1,8.178333519E-4,-4.355465062E-4,4.810314276E-4
3.021917083E-1,-4.774068948E-4,8.409441216E-4,1.036071801E-3
3.122157083E-1,6.408544141E-4,1.346944715E-3,3.668194695E-4
3.222397083E-1,6.987887900E-6,2.941004932E-4,1.043445081E-4
3.322647083E-1,3.904830664E-4,1.053367625E-3,6.484283367E-4
3.422887083E-1,-9.064213373E-5,-1.950850710E-4,-1.636735979E-3
3.523127083E-1,3.125604417E-4,3.886800259E-4,-1.703995076E-4
3.623367083E-1,-4.007046227E-4,-1.353735337E-3,-1.500674698E-4
3.723607083E-1,9.095706046E-4,-9.201727808E-4,2.227750665E-4
3.823847083E-1,1.106679323E-3,-2.309342381E-4,-6.185517414E-4
3.924087083E-1,2.445450518E-3,1.416420564E-4,4.411200644E-4
4.024337083E-1,-1.694879611E-4,3.669394646E-4,-5.403489922E-5
4.124577083E-1,1.525614061E-3,-8.677020669E-4,-1.629581966E-4
4.224817083E-1,2.922001586E-4,1.626636367E-4,-6.564426585E-4
4.325057083E-1,1.026433660E-3,-4.240307026E-4,7.217432139E-4
4.425297083E-1,-1.208537724E-3,6.533670239E-5,-9.553023847E-4
4.525537083E-1,1.592618646E-4,1.022476819E-3,2.583001042E-4
4.625777083E-1,1.947374316E-3,1.412682352E-3,-1.672221697E-3
4.726027083E-1,-1.178111532E-3,-8.380273357E-6,-1.679678564E-3
4.826267083E-1,1.496704062E-3,-2.313940786E-4,-1.311071101E-3
4.926507083E-1,9.299833328E-4,-7.898588665E-4,-8.921281551E-5
5.026747083E-1,7.315725670E-4,1.398534281E-3,-1.587585662E-3
5.126987083E-1,5.150575889E-4,1.023028628E-3,1.163992332E-3
5.227227083E-1,-8.211230743E-4,-7.284439635E-4,-1.710632816E-3
5.327467083E-1,6.790355546E-4,-2.115243115E-4,2.007178846E-4
5.427707083E-1,3.799519618E-4,-8.618969005E-4,-3.445753828E-4
5.527957083E-1,6.041901070E-4,1.389191020E-4,-7.448485121E-4
5.628197083E-1,8.141832659E-4,-1.139767002E-3,5.371754523E-4
5.728437083E-1,-1.080655842E-3,1.452083234E-4,-5.019900273E-4
5.828677083E-1,-5.176557461E-4,-6.385364104E-4,1.184842899E-3
5.928917083E-1,2.317577892E-4,5.787943956E-4,-2.294577193E-3
6.029157083E-1,-4.997513606E-4,7.213861682E-4,-4.067595291E-4
6.129397083E-1,6.590408157E-5,-7.446839008E-4,1.934624743E-5
