"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.166125003E-3,1.371148682E-1,2.628533936E-1,9.745334473E0
8.857875015E-3,1.345701599E-1,2.571652222E-1,9.736951904E0
1.888087502E-2,1.383123779E-1,2.589614868E-1,9.735904083E0
2.890487498E-2,1.207987976E-1,2.549198914E-1,9.728419647E0
3.892887500E-2,1.275347900E-1,2.463876343E-1,9.723928986E0
4.895287502E-2,1.136137390E-1,2.501298523E-1,9.738897858E0
5.897687498E-2,1.188528442E-1,2.624043274E-1,9.742490387E0
6.900087500E-2,1.202000427E-1,2.686912537E-1,9.736652527E0
7.902487501E-2,1.136137390E-1,2.571652222E-1,9.740694122E0
8.904887497E-2,1.285826111E-1,2.600093079E-1,9.739346924E0
9.907287499E-2,1.401086426E-1,2.570155334E-1,9.734706573E0
1.090958750E-1,1.330732727E-1,2.556683350E-1,9.742640076E0
1.191198750E-1,1.311273193E-1,2.531236267E-1,9.739646301E0
1.291438750E-1,1.315763855E-1,2.619552612E-1,9.733059998E0
1.391678750E-1,1.228944397E-1,2.580633545E-1,9.732161865E0
1.491918750E-1,1.273851013E-1,2.550695801E-1,9.731712799E0
1.592158750E-1,1.329235840E-1,2.517764282E-1,9.739346924E0
1.692398750E-1,1.273851013E-1,2.561174011E-1,9.733209686E0
1.792638750E-1,1.255888367E-1,2.478845215E-1,9.735005951E0
1.892868750E-1,1.305285645E-1,2.613565063E-1,9.740245056E0
1.993108750E-1,1.302291870E-1,2.607577515E-1,9.734856262E0
2.093348750E-1,1.115180969E-1,2.478845215E-1,9.733209686E0
2.193588750E-1,1.321751404E-1,2.644999695E-1,9.733209686E0
2.293828750E-1,1.224453735E-1,2.583627319E-1,9.725126495E0
2.394068750E-1,1.273851013E-1,2.522254944E-1,9.744586029E0
2.494308750E-1,1.257385254E-1,2.567161560E-1,9.736053772E0
2.594548750E-1,1.179547119E-1,2.610571289E-1,9.736353149E0
2.694788750E-1,1.269360352E-1,2.622546387E-1,9.729617157E0
2.795018750E-1,1.353186035E-1,2.624043274E-1,9.731263733E0
2.895258750E-1,1.272354126E-1,2.495310974E-1,9.740394745E0
2.995498750E-1,1.344204712E-1,2.579136658E-1,9.733958130E0
3.095738750E-1,1.359173584E-1,2.601589966E-1,9.728569336E0
3.195978750E-1,1.318757629E-1,2.665956116E-1,9.748777313E0
3.296218750E-1,1.300794983E-1,2.537223816E-1,9.754764862E0
3.396466250E-1,1.350192261E-1,2.386038208E-1,9.738748169E0
3.496706250E-1,1.237925720E-1,2.501298523E-1,9.722881165E0
3.596946250E-1,1.206491089E-1,2.532733154E-1,9.741592255E0
3.697176250E-1,1.330732727E-1,2.478845215E-1,9.735754395E0
3.797416250E-1,1.242416382E-1,2.550695801E-1,9.734556885E0
3.897656250E-1,1.278341675E-1,2.598596191E-1,9.737550659E0
3.997896250E-1,1.204994202E-1,2.523751831E-1,9.729766846E0
4.098136250E-1,1.308279419E-1,2.679428101E-1,9.733509064E0
4.198376250E-1,1.302291870E-1,2.586621094E-1,9.737999725E0
4.298616250E-1,1.324745178E-1,2.573149109E-1,9.736951904E0
4.398856250E-1,1.368154907E-1,2.511776733E-1,9.726922760E0
4.499086250E-1,1.233435059E-1,2.552192688E-1,9.738748169E0
4.599326250E-1,1.254391479E-1,2.594105530E-1,9.728569336E0
4.699566250E-1,1.209484863E-1,2.613565063E-1,9.742041321E0
4.799806250E-1,1.187031555E-1,2.579136658E-1,9.750872955E0
4.900046250E-1,1.284329224E-1,2.712359619E-1,9.735754395E0
5.000286250E-1,1.294807434E-1,2.589614868E-1,9.740394745E0
5.100526250E-1,1.209484863E-1,2.724334717E-1,9.737251282E0
5.200766250E-1,1.240919495E-1,2.585124207E-1,9.731263733E0
5.301006250E-1,1.272354126E-1,2.547702026E-1,9.747430115E0
5.401236250E-1,1.410067749E-1,2.573149109E-1,9.721983032E0
5.501476250E-1,1.297801208E-1,2.622546387E-1,9.721234589E0
5.601716250E-1,1.184037781E-1,2.469863892E-1,9.737101593E0
5.701956250E-1,1.149609375E-1,2.567161560E-1,9.747430115E0
5.802196250E-1,1.312770081E-1,2.517764282E-1,9.736652527E0
5.902436250E-1,1.344204712E-1,2.668949890E-1,9.737850037E0
6.002676250E-1,1.187031555E-1,2.746788025E-1,9.726324005E0
6.102916250E-1,1.204994202E-1,2.580633545E-1,9.744586029E0
6.203156250E-1,1.357676697E-1,2.637515259E-1,9.742939453E0
6.303386250E-1,1.234931946E-1,2.550695801E-1,9.739496613E0
6.403626250E-1,1.260379028E-1,2.537223816E-1,9.742340698E0
6.503866250E-1,1.420545959E-1,2.490820312E-1,9.733658752E0
6.604106250E-1,1.303788757E-1,2.513273621E-1,9.729467468E0
6.704346250E-1,1.342707825E-1,2.484832764E-1,9.738448792E0
6.804586250E-1,1.312770081E-1,2.628533936E-1,9.733359375E0
6.904826250E-1,1.264869690E-1,2.716850281E-1,9.746232605E0
7.005066250E-1,1.206491089E-1,2.739303589E-1,9.732311554E0
7.105296250E-1,1.311273193E-1,2.565664673E-1,9.747130737E0
7.205536250E-1,1.188528442E-1,2.680924988E-1,9.724378052E0
7.305776250E-1,1.414558411E-1,2.610571289E-1,9.718240814E0
7.406016250E-1,1.309776306E-1,2.469863892E-1,9.772428131E0
7.506256250E-1,1.297801208E-1,2.475851440E-1,9.727820892E0
7.606496250E-1,1.206491089E-1,2.456391907E-1,9.736203461E0
7.706736250E-1,1.347198486E-1,2.496807861E-1,9.718091125E0
7.806976250E-1,1.357676697E-1,2.525248718E-1,9.745184784E0
7.907206250E-1,1.356179810E-1,2.695893860E-1,9.740694122E0
8.007446250E-1,1.308279419E-1,2.594105530E-1,9.743837585E0
8.107686250E-1,1.212478638E-1,2.565664673E-1,9.732610931E0
8.207926250E-1,1.227447510E-1,2.583627319E-1,9.729467468E0
8.308166250E-1,1.303788757E-1,2.540217590E-1,9.738448792E0
8.408406250E-1,1.237925720E-1,2.553689575E-1,9.725126495E0
8.508646250E-1,1.196012878E-1,2.368075562E-1,9.733359375E0
8.608886250E-1,1.300794983E-1,2.429447937E-1,9.737400970E0
8.709126250E-1,1.422042847E-1,2.417472839E-1,9.719438324E0
8.809356250E-1,1.441502380E-1,2.568658447E-1,9.748477936E0
8.909596250E-1,1.396595764E-1,2.656974792E-1,9.733958130E0
9.009836250E-1,1.228944397E-1,2.763253784E-1,9.743238831E0
9.110076250E-1,1.240919495E-1,2.891986084E-1,9.740843811E0
9.210316250E-1,1.172062683E-1,2.778222656E-1,9.727671204E0
9.310556250E-1,1.288819885E-1,2.647993469E-1,9.749525757E0
9.410796250E-1,1.234931946E-1,2.576142883E-1,9.732610931E0
9.511026250E-1,1.266366577E-1,2.387535095E-1,9.732760620E0
9.611266250E-1,1.477427673E-1,2.237846375E-1,9.739047546E0
9.711506250E-1,1.372645569E-1,2.345622253E-1,9.741143188E0
9.811746250E-1,1.248403931E-1,2.520758057E-1,9.732610931E0
9.911986250E-1,1.240919495E-1,2.665956116E-1,9.729317780E0
