"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.019458334E-3,3.218307495E-2,9.809550934E0,1.047821045E-3
1.204345829E-2,3.682342529E-2,9.802066498E0,2.005828857E-2
2.206745831E-2,3.158432007E-2,9.816286926E0,2.080673218E-2
3.209145833E-2,3.008743286E-2,9.827363892E0,6.137237549E-3
4.211512499E-2,2.844085693E-2,9.815239105E0,2.649490356E-2
5.213812500E-2,2.859054565E-2,9.810149689E0,1.990859985E-2
6.216212496E-2,2.724334717E-2,9.802665253E0,1.347198486E-2
7.218612498E-2,2.380050659E-2,9.805509338E0,1.212478638E-2
8.221012499E-2,1.107696533E-2,9.807455292E0,2.215393066E-2
9.223412501E-2,3.727249146E-2,9.810149689E0,3.502716064E-2
1.022581250E-1,4.161346436E-2,9.806108093E0,1.511856079E-2
1.122821250E-1,4.191284180E-2,9.818232880E0,8.083190918E-3
1.223061250E-1,3.532653809E-2,9.812245331E0,7.185058594E-3
1.323301250E-1,2.260299683E-2,9.802066498E0,4.191284180E-3
1.423531250E-1,3.053649902E-2,9.820627899E0,-1.332229614E-2
1.523771250E-1,2.020797729E-2,9.821076965E0,-1.856140137E-2
1.624011250E-1,1.152603149E-2,9.807305603E0,3.457809448E-2
1.724251250E-1,2.948867798E-2,9.804910583E0,5.089416504E-2
1.824491250E-1,3.757186890E-2,9.807904358E0,3.353027344E-2
1.924731250E-1,2.754272461E-2,9.801467743E0,2.574645996E-2
2.024971250E-1,2.215393066E-2,9.820178833E0,6.735992432E-3
2.125211250E-1,2.380050659E-2,9.810000000E0,-1.706451416E-2
2.225441250E-1,2.963836670E-2,9.800120544E0,-3.233276367E-2
2.325681250E-1,2.484832764E-2,9.811496887E0,-1.137634277E-2
2.425921250E-1,2.380050659E-2,9.818831635E0,2.155517578E-2
2.526161250E-1,2.649490356E-2,9.800868988E0,4.415817261E-2
2.626401250E-1,3.263214111E-2,9.817783813E0,5.104385376E-2
2.726641250E-1,2.095642090E-2,9.811347198E0,4.251159668E-2
2.826881250E-1,1.706451416E-2,9.805209961E0,1.631607056E-2
2.927121250E-1,1.975891113E-2,9.804311829E0,-1.272354126E-2
3.027361250E-1,1.347198486E-2,9.802515564E0,-2.619552612E-2
3.127591250E-1,2.215393066E-2,9.808652802E0,-1.062789917E-2
3.227831250E-1,2.829116821E-2,9.813742218E0,2.484832764E-2
3.328071250E-1,3.203338623E-2,9.801018677E0,3.382965088E-2
3.428311250E-1,3.652404785E-2,9.808203735E0,3.323089600E-2
3.528551250E-1,2.604583740E-2,9.808503113E0,2.619552612E-2
3.628791250E-1,1.886077881E-2,9.813143463E0,1.511856079E-2
3.729031250E-1,2.888992310E-2,9.815538483E0,6.885681152E-3
3.829271250E-1,3.098556519E-2,9.806557159E0,-5.987548828E-4
3.929501250E-1,2.874023438E-2,9.792336731E0,-1.496887207E-2
4.029741250E-1,3.173400879E-2,9.808802490E0,2.080673218E-2
4.129981250E-1,2.020797729E-2,9.803264008E0,1.586700439E-2
4.230221250E-1,3.158432007E-2,9.805808716E0,1.496887207E-2
4.330461250E-1,2.245330811E-2,9.823172607E0,1.302291870E-2
4.430701250E-1,3.442840576E-3,9.815089417E0,1.047821045E-2
4.530941250E-1,3.173400879E-2,9.807904358E0,6.137237549E-3
4.631181250E-1,3.188369751E-2,9.803563385E0,1.017883301E-2
4.731411250E-1,1.766326904E-2,9.805359650E0,1.571731567E-2
4.831651250E-1,2.230361938E-2,9.807006226E0,4.879852295E-2
4.931891250E-1,3.038681030E-2,9.805209961E0,3.622467041E-2
5.032131250E-1,3.547622681E-2,9.802515564E0,2.275268555E-2
5.132371250E-1,2.664459229E-2,9.801767120E0,-1.152603149E-2
5.232611250E-1,8.382568359E-3,9.805209961E0,-4.939727783E-3
5.332851250E-1,1.826202393E-2,9.816586304E0,1.466949463E-2
5.433091250E-1,3.098556519E-2,9.793683929E0,1.107696533E-2
5.533321250E-1,3.787124634E-2,9.793384552E0,2.035766602E-2
5.633561250E-1,3.008743286E-2,9.817484436E0,2.439926147E-2
5.733801250E-1,2.395019531E-2,9.801916809E0,4.311035156E-2
5.834041250E-1,3.143463135E-2,9.800419922E0,8.532257080E-3
5.934281250E-1,1.736389160E-2,9.814340973E0,-0.000000000E0
6.034521250E-1,2.185455322E-2,9.815089417E0,-1.347198486E-3
6.134761250E-1,3.053649902E-2,9.806856537E0,1.302291870E-2
6.235001250E-1,3.936813354E-2,9.817334747E0,2.290237427E-2
6.335231250E-1,3.996688843E-2,9.795031128E0,1.646575928E-3
6.435471250E-1,3.173400879E-2,9.816436615E0,2.574645996E-2
6.535711250E-1,2.664459229E-2,9.820927277E0,2.245330811E-2
6.635951250E-1,2.140548706E-2,9.800120544E0,-2.245330811E-3
6.736191250E-1,5.987548828E-3,9.797126770E0,1.077758789E-2
6.836431250E-1,2.125579834E-2,9.806557159E0,2.409988403E-2
6.936671250E-1,2.664459229E-2,9.812395020E0,2.874023438E-2
7.036911250E-1,3.487747192E-2,9.817933502E0,1.062789917E-2
7.137151250E-1,2.065704346E-2,9.792486420E0,3.233276367E-2
7.237381250E-1,1.871109009E-2,9.814939728E0,2.020797729E-2
7.337621250E-1,2.260299683E-2,9.812844086E0,4.041595459E-3
7.437861250E-1,3.278182983E-2,9.806856537E0,-2.110610962E-2
7.538101250E-1,1.167572021E-2,9.810598755E0,-2.095642090E-3
7.638341250E-1,1.407073975E-2,9.792785797E0,1.571731567E-2
7.738581250E-1,2.305206299E-2,9.812694397E0,3.173400879E-2
7.838821250E-1,3.293151855E-2,9.822723541E0,5.298980713E-2
7.939061250E-1,3.203338623E-2,9.806407471E0,2.544708252E-2
8.039291250E-1,1.945953369E-2,9.810299377E0,1.586700439E-2
8.139531250E-1,1.781295776E-2,9.814939728E0,1.496887207E-4
8.239771250E-1,1.796264648E-2,9.797575836E0,8.232879639E-3
8.340011250E-1,2.993774414E-2,9.820178833E0,1.511856079E-2
8.440251250E-1,3.562591553E-2,9.808802490E0,-8.681945801E-3
8.540491250E-1,2.499801636E-2,9.794282684E0,-1.796264648E-3
8.640731250E-1,3.472778320E-2,9.792037354E0,2.200424194E-2
8.740971250E-1,3.278182983E-2,9.823322296E0,4.236190796E-2
8.841201250E-1,2.200424194E-2,9.808652802E0,2.769241333E-2
8.941441250E-1,7.783813477E-3,9.800120544E0,-7.484436035E-4
9.041681250E-1,9.580078125E-3,9.795480194E0,-2.395019531E-3
9.141921250E-1,2.589614868E-2,9.809700623E0,1.826202393E-2
9.242161250E-1,5.074447632E-2,9.799222412E0,1.751358032E-2
9.342401250E-1,4.475692749E-2,9.806706848E0,1.781295776E-2
9.442641250E-1,1.362167358E-2,9.804611206E0,2.140548706E-2
9.542881250E-1,2.005828857E-2,9.807604980E0,-3.442840576E-3
9.643111250E-1,3.023712158E-2,9.810299377E0,-1.945953369E-2
9.743351250E-1,3.547622681E-2,9.794132996E0,8.981323242E-3
9.843591250E-1,1.960922241E-2,9.800719299E0,2.035766602E-2
9.943831250E-1,2.140548706E-2,9.809251556E0,2.859054565E-2
1.004407125E0,2.395019531E-2,9.800569611E0,2.829116821E-2
1.014431125E0,3.622467041E-2,9.813143463E0,1.586700439E-2
1.024455125E0,3.218307495E-2,9.805209961E0,1.212478638E-2
1.034479125E0,1.437011719E-2,9.796228638E0,-8.981323242E-3
1.044502208E0,9.430389404E-3,9.801617432E0,-1.706451416E-2
1.054526208E0,2.095642090E-2,9.801467743E0,6.286926270E-3
1.064550208E0,1.721420288E-2,9.802515564E0,6.586303711E-3
1.074574208E0,1.377136230E-2,9.804012451E0,2.799179077E-2
1.084598208E0,2.380050659E-2,9.797426147E0,4.550537109E-2
1.094622208E0,2.754272461E-2,9.816885681E0,3.008743286E-2
1.104646208E0,3.412902832E-2,9.827962646E0,1.541793823E-2
1.114670208E0,2.844085693E-2,9.819729767E0,-1.182540894E-2
1.124693208E0,1.002914429E-2,9.791737976E0,9.280700684E-3
1.134717208E0,2.664459229E-2,9.804012451E0,1.676513672E-2
1.144741208E0,2.993774414E-2,9.812694397E0,1.332229614E-2
1.154765208E0,3.936813354E-2,9.809251556E0,2.200424194E-2
1.164789208E0,2.694396973E-2,9.802066498E0,2.380050659E-2
1.174813208E0,2.439926147E-2,9.796078949E0,2.365081787E-2
1.184837208E0,2.514770508E-2,9.811197510E0,-1.302291870E-2
1.194861208E0,3.173400879E-2,9.827363892E0,-7.484436035E-4
1.204884208E0,2.020797729E-2,9.804461517E0,2.065704346E-2
1.214908208E0,2.365081787E-2,9.792187042E0,1.766326904E-2
1.224932208E0,2.469863892E-2,9.822573853E0,3.173400879E-2
1.234956208E0,2.499801636E-2,9.820178833E0,2.514770508E-2
1.244980208E0,4.206253052E-2,9.814640350E0,1.945953369E-2
1.255004208E0,1.526824951E-2,9.810449066E0,-7.933502197E-3
1.265028208E0,1.871109009E-2,9.796827393E0,-2.095642090E-2
1.275052208E0,1.826202393E-2,9.809850311E0,7.185058594E-3
1.285075208E0,2.993774414E-2,9.814640350E0,1.990859985E-2
1.295099208E0,2.589614868E-2,9.796228638E0,7.185058594E-3
1.305123208E0,2.439926147E-2,9.805209961E0,3.367996216E-2
1.315147208E0,3.083587646E-2,9.812245331E0,3.592529297E-2
1.325171208E0,2.664459229E-2,9.804461517E0,1.781295776E-2
1.335195208E0,1.616638184E-2,9.816137238E0,7.634124756E-3
1.345219208E0,1.781295776E-2,9.798324280E0,-4.790039062E-3
1.355243208E0,2.769241333E-2,9.803713074E0,-9.131011963E-3
1.365266208E0,2.784210205E-2,9.798324280E0,-1.646575928E-3
1.375290208E0,2.993774414E-2,9.808652802E0,1.601669312E-2
1.385314208E0,3.457809448E-2,9.816586304E0,2.350112915E-2
1.395338208E0,2.170486450E-2,9.795330505E0,3.442840576E-2
1.405362208E0,2.948867798E-2,9.795180817E0,2.784210205E-2
1.415386208E0,1.706451416E-2,9.814490662E0,9.580078125E-3
1.425410208E0,2.005828857E-2,9.804611206E0,-7.035369873E-3
1.435434208E0,2.110610962E-2,9.818232880E0,5.987548828E-3
1.445457208E0,3.412902832E-2,9.808802490E0,7.035369873E-3
1.455481208E0,4.101470947E-2,9.812694397E0,1.916015625E-2
1.465505208E0,4.415817261E-2,9.810898132E0,2.499801636E-2
1.475529208E0,2.978805542E-2,9.809251556E0,3.248245239E-2
1.485553208E0,1.571731567E-2,9.813742218E0,2.559677124E-2
1.495577208E0,2.978805542E-2,9.803563385E0,3.592529297E-3
1.505601208E0,3.053649902E-2,9.794881439E0,6.885681152E-3
1.515624208E0,3.847000122E-2,9.802515564E0,2.005828857E-2
1.525648208E0,2.439926147E-2,9.811496887E0,9.280700684E-3
1.535672208E0,2.514770508E-2,9.809101868E0,1.017883301E-2
1.545696208E0,3.487747192E-2,9.804611206E0,1.242416382E-2
1.555720208E0,3.622467041E-2,9.805060272E0,8.532257080E-3
1.565744208E0,2.829116821E-2,9.805509338E0,1.047821045E-2
1.575768208E0,5.089416504E-3,9.809251556E0,1.930984497E-2
1.585792208E0,1.152603149E-2,9.805958405E0,1.392105103E-2
1.595815208E0,1.796264648E-2,9.795779572E0,2.230361938E-2
1.605839208E0,3.128494263E-2,9.818382568E0,3.607498169E-2
1.615863208E0,2.484832764E-2,9.795480194E0,2.020797729E-2
1.625887208E0,2.634521484E-2,9.806108093E0,2.065704346E-2
1.635911208E0,3.143463135E-2,9.813891907E0,7.783813477E-3
1.645935208E0,1.796264648E-2,9.808652802E0,-1.407073975E-2
1.655959208E0,2.859054565E-2,9.801767120E0,-5.239105225E-3
1.665983208E0,2.454895020E-2,9.803413696E0,2.230361938E-2
1.676006208E0,3.203338623E-2,9.801168365E0,2.454895020E-2
1.686030208E0,1.526824951E-2,9.810449066E0,3.427871704E-2
1.696054208E0,1.392105103E-2,9.812844086E0,3.382965088E-2
1.706078208E0,1.916015625E-2,9.801467743E0,2.110610962E-2
1.716102208E0,2.140548706E-2,9.804910583E0,4.490661621E-3
1.726126208E0,1.122665405E-2,9.809401245E0,-6.286926270E-3
1.736150208E0,1.811233521E-2,9.800419922E0,4.640350342E-3
1.746174208E0,2.933898926E-2,9.806557159E0,1.571731567E-2
1.756197208E0,3.053649902E-2,9.807305603E0,2.200424194E-2
1.766221208E0,3.053649902E-2,9.801018677E0,2.859054565E-2
1.776245208E0,2.769241333E-2,9.807604980E0,2.350112915E-2
1.786269208E0,2.544708252E-2,9.801318054E0,1.811233521E-2
1.796293208E0,3.173400879E-2,9.811496887E0,3.891906738E-3
1.806317208E0,3.218307495E-2,9.804012451E0,-2.245330811E-3
1.816341208E0,2.514770508E-2,9.796528015E0,4.041595459E-3
1.826365208E0,2.649490356E-2,9.812993774E0,1.960922241E-2
1.836388208E0,3.847000122E-2,9.817035370E0,1.032852173E-2
1.846412208E0,3.128494263E-2,9.810000000E0,2.709365845E-2
1.856436208E0,1.871109009E-2,9.805958405E0,3.173400879E-2
1.866460208E0,1.826202393E-2,9.806856537E0,1.736389160E-2
1.876484208E0,2.380050659E-2,9.803413696E0,-8.232879639E-3
1.886508208E0,1.796264648E-2,9.808054047E0,5.388793945E-3
1.896532208E0,2.335144043E-2,9.812245331E0,1.781295776E-2
1.906555208E0,1.975891113E-2,9.814191284E0,1.212478638E-2
1.916579208E0,2.724334717E-2,9.814790039E0,2.095642090E-2
1.926603208E0,2.380050659E-2,9.804910583E0,1.766326904E-2
1.936627208E0,3.098556519E-2,9.800569611E0,1.407073975E-2
1.946651208E0,3.068618774E-2,9.816735992E0,5.089416504E-3
1.956675208E0,2.694396973E-2,9.801467743E0,1.481918335E-2
1.966699208E0,2.589614868E-2,9.807155914E0,1.167572021E-2
1.976723208E0,2.619552612E-2,9.805359650E0,1.886077881E-2
1.986746208E0,2.859054565E-2,9.803713074E0,1.556762695E-2
1.996770208E0,1.437011719E-2,9.805509338E0,1.077758789E-2
2.006794208E0,2.814147949E-2,9.806856537E0,9.430389404E-3
2.016818208E0,2.424957275E-2,9.805209961E0,1.107696533E-2
2.026842208E0,2.993774414E-2,9.813592529E0,1.691482544E-2
2.036866208E0,2.215393066E-2,9.814790039E0,1.541793823E-2
2.046890750E0,2.739303589E-2,9.806856537E0,1.811233521E-2
2.056913750E0,2.230361938E-2,9.798174591E0,1.362167358E-2
2.066937750E0,3.742218018E-2,9.807604980E0,1.407073975E-2
2.076961750E0,2.409988403E-2,9.818532257E0,1.781295776E-2
2.086985750E0,2.155517578E-2,9.801767120E0,2.125579834E-2
2.097009750E0,8.083190918E-3,9.816286926E0,1.646575928E-2
2.107033750E0,2.140548706E-2,9.814340973E0,1.901046753E-2
2.117057750E0,2.664459229E-2,9.817634125E0,1.302291870E-2
2.127081750E0,3.487747192E-2,9.807305603E0,2.724334717E-2
2.137104750E0,3.547622681E-2,9.809700623E0,1.661544800E-2
2.147128750E0,1.975891113E-2,9.812993774E0,1.646575928E-2
2.157152750E0,2.200424194E-2,9.799821167E0,1.871109009E-2
2.167176750E0,2.305206299E-2,9.801018677E0,2.200424194E-2
2.177200750E0,1.347198486E-2,9.801168365E0,1.541793823E-2
2.187224750E0,3.053649902E-2,9.817484436E0,1.422042847E-2
2.197248750E0,3.427871704E-2,9.810748444E0,1.137634277E-2
2.207271750E0,2.754272461E-2,9.791288910E0,2.619552612E-2
2.217295750E0,2.903961182E-2,9.818981323E0,1.407073975E-2
2.227319750E0,2.335144043E-2,9.797575836E0,-2.844085693E-3
2.237343750E0,2.918930054E-2,9.803264008E0,4.340972900E-3
2.247367750E0,3.382965088E-2,9.795480194E0,-2.844085693E-3
2.257391750E0,2.664459229E-2,9.817185059E0,1.466949463E-2
2.267415750E0,2.484832764E-2,9.806706848E0,-5.239105225E-3
2.277439750E0,3.023712158E-2,9.818382568E0,1.347198486E-2
2.287462750E0,3.218307495E-2,9.795480194E0,4.790039062E-3
2.297486750E0,2.275268555E-2,9.805359650E0,2.065704346E-2
2.307510750E0,2.080673218E-2,9.814790039E0,1.766326904E-2
2.317534750E0,2.559677124E-2,9.809550934E0,8.532257080E-3
2.327558750E0,2.754272461E-2,9.813742218E0,2.245330811E-3
2.337582750E0,2.529739380E-2,9.807305603E0,1.661544800E-2
2.347606750E0,3.367996216E-2,9.811796265E0,1.302291870E-2
2.357630750E0,1.901046753E-2,9.814640350E0,1.586700439E-2
2.367653750E0,2.230361938E-2,9.801617432E0,3.143463135E-2
2.377677750E0,2.978805542E-2,9.810000000E0,1.392105103E-2
2.387701750E0,2.469863892E-2,9.803713074E0,1.586700439E-2
2.397725750E0,3.637435913E-2,9.807604980E0,1.332229614E-2
2.407749750E0,2.230361938E-2,9.821226654E0,2.454895020E-2
2.417773750E0,3.173400879E-2,9.805060272E0,1.407073975E-2
2.427797750E0,1.451980591E-2,9.804012451E0,6.286926270E-3
2.437820750E0,2.874023438E-2,9.806407471E0,1.092727661E-2
2.447844750E0,2.709365845E-2,9.794881439E0,1.676513672E-2
2.457868750E0,3.143463135E-2,9.809850311E0,1.287322998E-2
2.467892750E0,3.083587646E-2,9.808203735E0,1.347198486E-2
2.477916750E0,3.981719971E-2,9.816885681E0,1.676513672E-2
2.487940750E0,2.499801636E-2,9.812245331E0,1.167572021E-2
2.497964750E0,3.772155762E-2,9.801767120E0,7.334747314E-3
2.507987750E0,3.981719971E-2,9.794132996E0,8.532257080E-3
2.518011750E0,2.948867798E-2,9.810748444E0,1.945953369E-2
2.528035750E0,2.634521484E-2,9.817334747E0,3.427871704E-2
2.538059750E0,2.769241333E-2,9.812544708E0,7.334747314E-3
2.548083750E0,2.574645996E-2,9.794432373E0,2.005828857E-2
2.558107750E0,1.916015625E-2,9.806706848E0,1.332229614E-2
2.568131750E0,2.230361938E-2,9.799521790E0,9.430389404E-3
2.578155750E0,1.556762695E-2,9.808503113E0,2.200424194E-2
2.588178750E0,2.185455322E-2,9.820029144E0,1.347198486E-2
2.598202750E0,2.125579834E-2,9.797126770E0,1.092727661E-2
2.608226750E0,2.499801636E-2,9.812993774E0,4.490661621E-3
2.618250750E0,2.978805542E-2,9.799671478E0,1.242416382E-2
2.628274750E0,9.131011963E-3,9.804012451E0,2.993774414E-4
2.638298750E0,2.589614868E-2,9.795031128E0,1.377136230E-2
2.648322750E0,2.903961182E-2,9.811945953E0,7.933502197E-3
2.658345750E0,2.589614868E-2,9.812095642E0,2.619552612E-2
2.668369750E0,1.960922241E-2,9.808802490E0,1.182540894E-2
2.678393750E0,2.963836670E-2,9.801467743E0,5.239105225E-3
2.688417750E0,2.814147949E-2,9.805659027E0,3.592529297E-3
2.698441750E0,1.871109009E-2,9.802665253E0,5.239105225E-3
2.708465750E0,1.751358032E-2,9.799372101E0,5.239105225E-3
2.718489750E0,2.933898926E-2,9.807754669E0,8.981323242E-3
2.728513750E0,3.353027344E-2,9.816586304E0,1.796264648E-2
2.738536750E0,3.098556519E-2,9.811646576E0,1.556762695E-2
2.748560750E0,2.829116821E-2,9.820627899E0,1.766326904E-2
2.758584750E0,2.769241333E-2,9.810598755E0,1.347198486E-2
2.768608750E0,3.128494263E-2,9.815688171E0,7.334747314E-3
2.778632750E0,1.886077881E-2,9.801916809E0,4.640350342E-3
2.788656750E0,2.604583740E-2,9.815538483E0,2.844085693E-3
2.798680750E0,1.616638184E-2,9.798773346E0,8.232879639E-3
2.808703750E0,1.392105103E-2,9.804461517E0,1.167572021E-2
2.818727750E0,3.188369751E-2,9.808802490E0,2.050735474E-2
2.828751750E0,2.469863892E-2,9.807604980E0,2.185455322E-2
2.838775750E0,2.918930054E-2,9.802814941E0,1.377136230E-2
2.848799750E0,2.424957275E-2,9.799222412E0,2.125579834E-2
2.858823750E0,2.499801636E-2,9.798024902E0,4.640350342E-3
2.868847750E0,1.511856079E-2,9.817035370E0,2.170486450E-2
2.878870750E0,1.496887207E-2,9.802365875E0,2.350112915E-2
2.888894750E0,3.487747192E-2,9.799372101E0,1.347198486E-2
2.898918750E0,3.053649902E-2,9.801467743E0,1.466949463E-2
2.908942750E0,1.616638184E-2,9.809550934E0,2.260299683E-2
2.918966750E0,1.601669312E-2,9.806407471E0,1.077758789E-2
2.928990750E0,1.886077881E-2,9.808203735E0,1.002914429E-2
2.939014750E0,1.796264648E-2,9.815837860E0,1.047821045E-2
2.949038750E0,3.517684937E-2,9.807305603E0,1.392105103E-2
2.959061750E0,3.098556519E-2,9.813442841E0,1.377136230E-2
2.969085750E0,2.619552612E-2,9.819879456E0,9.280700684E-3
2.979109750E0,1.960922241E-2,9.794731750E0,7.185058594E-3
2.989133750E0,2.275268555E-2,9.811347198E0,1.571731567E-2
2.999157750E0,2.424957275E-2,9.796677704E0,1.841171265E-2
3.009181750E0,2.454895020E-2,9.801318054E0,9.131011963E-3
3.019205750E0,1.945953369E-2,9.810449066E0,1.721420288E-2
3.029228750E0,3.143463135E-2,9.799671478E0,2.844085693E-2
3.039252083E0,3.113525391E-2,9.801467743E0,8.681945801E-3
3.049276083E0,1.631607056E-2,9.795929260E0,5.688171387E-3
3.059300083E0,2.230361938E-2,9.815688171E0,6.137237549E-3
3.069324083E0,2.230361938E-2,9.811496887E0,1.197509766E-2
3.079348083E0,2.978805542E-2,9.811197510E0,9.729766846E-3
