"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.272458329E-3,-9.997738525E-4,-9.031593800E-4,2.617461432E-4
1.329645835E-2,2.839731460E-4,-1.615867019E-3,7.808946539E-4
2.332045831E-2,-4.260255955E-4,3.167891409E-4,-8.476283401E-4
3.334445832E-2,-2.001948887E-4,-4.129800946E-4,1.558796270E-3
4.336812499E-2,1.514348201E-3,-1.276376890E-3,1.261853846E-3
5.339112499E-2,1.974173065E-4,1.005251892E-3,-3.148272517E-4
6.341512501E-2,1.611983171E-4,-2.858487424E-4,1.668162527E-3
7.343912497E-2,-1.278618583E-3,1.849310007E-3,9.430056671E-4
8.346312499E-2,4.423160863E-4,-6.055918057E-4,-2.889726311E-4
9.348712501E-2,-1.413942082E-4,4.389439709E-5,8.936133236E-4
1.035111250E-1,4.359791055E-4,-1.286785118E-4,1.189756789E-3
1.135351250E-1,1.359250396E-3,8.600816363E-4,8.236555150E-4
1.235591250E-1,5.690905382E-4,6.693992764E-4,9.171324782E-4
1.335831250E-1,-5.288701504E-4,1.460665371E-4,-2.475603251E-4
1.436061250E-1,-2.183758654E-3,-4.129309673E-4,-1.020143391E-3
1.536301250E-1,-3.136673244E-3,-1.124480274E-3,-8.396557532E-4
1.636541250E-1,-2.123074140E-3,-1.460837666E-3,1.340940595E-3
1.736781250E-1,1.330754953E-3,4.476867616E-5,8.688168018E-4
1.837021250E-1,1.513447729E-3,6.298653316E-4,3.135477309E-4
1.937261250E-1,2.718847943E-3,6.315042265E-5,-1.761142630E-4
2.037501250E-1,2.834429266E-3,1.118561137E-3,8.354394231E-5
2.137741250E-1,1.930717845E-4,9.536378784E-4,-8.474425995E-4
2.237971250E-1,-2.010960365E-3,4.497678019E-4,7.698951522E-4
2.338211250E-1,-1.304066973E-3,-1.091684913E-3,7.611563196E-4
2.438451250E-1,-3.088437370E-4,-7.433434948E-4,4.588875454E-4
2.538691250E-1,-4.384177737E-5,-6.782151759E-4,4.019713087E-4
2.638931250E-1,6.565696094E-4,5.979717243E-4,8.411265444E-4
2.739171250E-1,2.155882539E-3,4.937611520E-4,4.434379225E-4
2.839411250E-1,1.758539118E-3,4.426285159E-4,1.037855516E-3
2.939651250E-1,-3.201912623E-4,8.831690066E-4,1.566115068E-3
3.039891250E-1,-2.685610903E-3,-1.997306244E-3,5.932623171E-4
3.140121250E-1,-1.234990894E-3,-7.021653000E-4,1.040227216E-4
3.240361250E-1,-6.826512981E-4,7.777534192E-4,-1.729460200E-4
3.340601250E-1,3.088983067E-4,-5.069910549E-4,-1.050022780E-3
3.440841250E-1,1.935834589E-4,7.372378604E-4,2.176418639E-4
3.541081250E-1,7.192261983E-4,1.299816649E-4,1.078111352E-3
3.641321250E-1,9.969938546E-4,-7.576497737E-4,5.745076342E-4
3.741561250E-1,9.421759169E-4,4.182318226E-4,-8.877936052E-4
3.841801250E-1,-2.600094536E-3,-4.379744641E-4,1.308248960E-3
3.942031250E-1,-1.346016768E-3,-3.224487882E-4,1.403131639E-3
4.042271250E-1,9.096806170E-4,-5.798880011E-6,-1.234196825E-3
