"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.422916667E-3,6.106482148E-1,4.526964128E-1,-3.628068864E-1
1.344691667E-2,6.316576004E-1,4.105972648E-1,-3.912018538E-1
2.346991667E-2,6.466120481E-1,3.593743145E-1,-4.060945213E-1
3.349391667E-2,6.764587760E-1,3.316241801E-1,-4.239447117E-1
4.351791667E-2,7.220664620E-1,2.338763177E-1,-4.500245154E-1
5.354091667E-2,8.097393513E-1,9.910164028E-2,-5.094366670E-1
6.356491667E-2,9.307344556E-1,-1.010900438E-1,-5.976637602E-1
7.358791667E-2,1.077494025E0,-2.479122728E-1,-6.839776635E-1
8.361191667E-2,1.187929392E0,-8.932156861E-2,-6.558818817E-1
9.363491667E-2,1.189434528E0,2.324373424E-1,-5.106771588E-1
1.036589167E-1,1.066028714E0,4.071100950E-1,-3.787910342E-1
1.136819167E-1,8.502670527E-1,3.108595908E-1,-2.337339967E-1
1.237059167E-1,6.456689239E-1,4.310829192E-2,-4.371266067E-2
1.337289167E-1,5.594219565E-1,-1.995562613E-1,4.447077215E-2
1.437529167E-1,5.598132014E-1,-4.472214282E-1,1.487665996E-2
1.537759167E-1,5.283088088E-1,-5.196284056E-1,6.667729467E-2
1.637999167E-1,4.526406825E-1,-3.597881198E-1,9.278159589E-2
1.738239167E-1,3.619850278E-1,-1.171812415E-1,4.268108308E-2
1.838469167E-1,2.897078991E-1,9.868073463E-2,-2.927140333E-2
1.938709167E-1,2.496283501E-1,2.481196076E-1,-8.134660870E-2
2.038939167E-1,2.386878282E-1,3.259997666E-1,-1.116850749E-1
2.139179167E-1,2.734152675E-1,3.366403580E-1,-1.111052185E-1
2.239409167E-1,3.510269821E-1,3.401858509E-1,-5.969475955E-2
2.339649167E-1,4.346144199E-1,3.461030722E-1,7.339279167E-3
2.439879167E-1,5.145893693E-1,2.679121196E-1,4.331751913E-2
2.540119167E-1,5.546432734E-1,8.967137337E-2,6.412633508E-2
2.640349167E-1,5.491278768E-1,-8.099916577E-2,8.442654461E-2
2.740589167E-1,5.107867122E-1,-1.204016432E-1,1.201670468E-1
2.840819167E-1,4.394094646E-1,-6.958187371E-2,1.332647502E-1
2.941059167E-1,3.712810874E-1,1.487902738E-2,1.255054176E-1
3.041299167E-1,3.327981234E-1,9.472245723E-2,1.238467991E-1
3.141529167E-1,2.576965094E-1,7.348564267E-2,9.971278161E-2
3.241769167E-1,1.590447873E-1,-4.358285107E-3,6.538277119E-2
3.341999167E-1,8.704344183E-2,-3.563743830E-2,3.892467543E-2
3.442239167E-1,5.674332753E-2,1.693336107E-2,3.295679763E-2
3.542469167E-1,5.752754584E-2,7.451637089E-2,4.244369268E-2
3.642709167E-1,8.315621316E-2,2.464761212E-2,7.008518279E-2
3.742939167E-1,1.190171242E-1,-1.556558013E-1,1.286692619E-1
3.843179167E-1,1.219007969E-1,-3.535220027E-1,2.130813450E-1
3.943409167E-1,5.191553384E-2,-5.630873442E-1,3.136182427E-1
4.043649167E-1,-1.113130674E-1,-7.214593887E-1,4.200818539E-1
4.143879167E-1,-3.713275492E-1,-8.741747737E-1,5.617617965E-1
4.244119167E-1,-6.880615354E-1,-1.021751165E0,7.684223056E-1
4.344359167E-1,-1.016482592E0,-1.143041849E0,9.858103395E-1
4.444589167E-1,-1.378299117E0,-1.270824552E0,1.136140704E0
4.544829167E-1,-1.743199348E0,-1.238929629E0,1.211629629E0
4.645059167E-1,-2.003203630E0,-9.938663244E-1,1.200871468E0
4.745299167E-1,-2.012945890E0,-5.771486163E-1,1.062667251E0
4.845529167E-1,-1.856686711E0,-1.631719023E-1,8.830764890E-1
4.945769167E-1,-1.833958030E0,-4.854902625E-2,7.749424577E-1
5.045999167E-1,-1.949640155E0,-1.211409345E-1,7.643873096E-1
5.146239167E-1,-2.049572945E0,-1.405723095E-1,7.967662215E-1
5.246469167E-1,-2.038841963E0,8.878700435E-3,8.346521258E-1
5.346709167E-1,-1.869098663E0,3.351427317E-1,8.989313245E-1
5.446939167E-1,-1.650913596E0,5.545529127E-1,9.602069259E-1
5.547179167E-1,-1.475227594E0,4.696569145E-1,9.451317191E-1
5.647419167E-1,-1.362359881E0,2.830220759E-1,8.896005750E-1
5.747649167E-1,-1.334335208E0,5.624465272E-2,8.519257903E-1
5.847889167E-1,-1.268986225E0,-9.890685230E-2,8.173217177E-1
5.948114583E-1,-1.002738476E0,-2.044447958E-1,7.237491608E-1
6.048354583E-1,-7.441934943E-1,-3.761545122E-1,6.233362556E-1
6.148584583E-1,-7.531653047E-1,-4.511266649E-1,5.758525133E-1
6.248824583E-1,-8.633857965E-1,-2.754381895E-1,5.388702750E-1
6.349054583E-1,-8.579807878E-1,1.801512018E-2,3.904460371E-1
6.449294583E-1,-7.705374956E-1,3.148928881E-1,1.710271239E-1
6.549524583E-1,-6.729248166E-1,5.207879543E-1,-6.319591403E-2
6.649764583E-1,-5.144046545E-1,6.334383488E-1,-3.237465620E-1
6.749994583E-1,-3.220487237E-1,6.274371147E-1,-5.834073424E-1
6.850234583E-1,-6.667688489E-2,5.759723783E-1,-8.689546585E-1
6.950474583E-1,2.169405669E-1,6.048808694E-1,-1.176328063E0
7.050704583E-1,4.086167812E-1,8.209527135E-1,-1.424416184E0
7.150944583E-1,5.249627829E-1,1.149778008E0,-1.629299641E0
7.251174583E-1,6.901655793E-1,1.573722601E0,-1.865356684E0
7.351414583E-1,1.022280574E0,2.008337259E0,-2.080329895E0
7.451644583E-1,1.475633979E0,2.321008682E0,-2.198241234E0
7.551884583E-1,1.994620323E0,2.346590042E0,-2.153757572E0
7.652114583E-1,2.589269876E0,1.984030843E0,-1.971924424E0
7.752354583E-1,3.157904148E0,1.383015752E0,-1.598719954E0
7.852584583E-1,3.458429813E0,4.978456497E-1,-9.775767326E-1
7.952824583E-1,3.234412670E0,-5.391070843E-1,-3.844724298E-1
8.053054583E-1,2.789284945E0,-9.483267665E-1,-2.104452550E-1
8.153294583E-1,2.399279118E0,-8.979601264E-1,-1.383091062E-1
8.253534583E-1,2.091264248E0,-8.354304433E-1,-1.046325732E-2
8.353764583E-1,1.824331045E0,-9.351540804E-1,9.429027885E-2
8.454004583E-1,1.632829547E0,-1.114176273E0,1.946267337E-1
8.554234583E-1,1.554464936E0,-1.241877437E0,2.284066826E-1
8.654474583E-1,1.220944166E0,-8.133468628E-1,2.792477608E-1
8.754704583E-1,3.082262874E-1,1.662082225E-1,2.779323161E-1
8.854944583E-1,-7.227909565E-1,6.105281711E-1,2.371558547E-1
8.955174583E-1,-1.488860846E0,4.522942305E-1,3.968830705E-1
9.055414583E-1,-1.649905920E0,5.208425596E-2,7.448778152E-1
9.155644583E-1,-1.348974347E0,-9.690585546E-3,8.159633279E-1
9.255884583E-1,-9.460716844E-1,-1.956505328E-2,6.547960043E-1
9.356114583E-1,-6.767588854E-1,3.396876454E-1,6.663232446E-1
9.456354583E-1,-6.050271988E-1,1.167613864E0,8.128263950E-1
9.556584583E-1,-5.762569904E-1,1.810277700E0,8.405604362E-1
9.656824583E-1,-5.311313272E-1,2.055424690E0,7.365653515E-1
9.757064583E-1,-3.343212008E-1,1.891961098E0,6.440469623E-1
9.857294583E-1,-3.354034200E-2,1.489260077E0,6.398292780E-1
9.957534583E-1,2.395085096E-1,9.519460201E-1,6.294656396E-1
1.005776458E0,3.404417932E-1,3.782154024E-1,4.892384708E-1
1.015800458E0,1.954398602E-1,-1.826108098E-1,1.872120500E-1
1.025823458E0,-7.053589821E-2,-6.501076818E-1,-1.666166037E-1
1.035847458E0,-2.527028918E-1,-8.707925081E-1,-3.721837103E-1
1.045870458E0,-3.017252982E-1,-8.187309504E-1,-3.727296591E-1
1.055894458E0,-3.079051673E-1,-7.065884471E-1,-2.554470003E-1
1.065917458E0,-3.264255822E-1,-7.732332945E-1,-1.039051414E-1
1.075941458E0,-3.461361527E-1,-9.678014517E-1,-4.142282903E-2
1.085964458E0,-3.500826657E-1,-1.169060826E0,9.452867322E-3
1.095988458E0,-3.300133049E-1,-1.212703228E0,6.821639836E-2
1.106012458E0,-3.369479179E-1,-1.095340848E0,1.060596481E-1
1.116035458E0,-4.233755767E-1,-9.475580454E-1,1.693221629E-1
1.126059458E0,-6.481801271E-1,-8.335915208E-1,2.583263218E-1
1.136082458E0,-9.477215409E-1,-5.794128776E-1,3.314439654E-1
1.146106458E0,-1.194045544E0,-3.339346647E-1,4.688215554E-1
1.156129458E0,-1.385121703E0,-7.123905420E-2,6.575585008E-1
1.166153458E0,-1.364341855E0,3.291445673E-1,9.557478428E-1
1.176176458E0,-1.170867205E0,7.174995542E-1,1.328898907E0
1.186200458E0,-1.178237796E0,3.853455484E-1,1.479395628E0
1.196223458E0,-1.211899400E0,-3.568661213E-1,1.140270352E0
1.206247458E0,-9.455062151E-1,-1.164908290E0,2.540457249E-1
1.216270458E0,-5.921079516E-1,-1.763603926E0,-4.774687812E-2
1.226294458E0,-4.669353664E-1,-9.455782175E-1,6.179373860E-1
1.236317458E0,-2.429833412E-1,3.216252327E-1,6.077176929E-1
1.246341458E0,-1.196583733E-2,1.002193689E0,2.084619738E-2
1.256365458E0,5.411590338E-1,1.291763663E0,-2.452473789E-1
1.266388458E0,1.329288363E0,8.263751864E-1,-3.038091958E-1
1.276412458E0,1.650399446E0,-8.854684830E-1,-2.214903384E-1
1.286435458E0,1.199843407E0,-3.279274702E0,-4.120551422E-2
1.296459458E0,1.105545521E0,-2.774449587E0,4.253818989E-1
1.306482458E0,9.628480077E-1,-1.981701016E0,9.075480103E-1
1.316506458E0,6.899306178E-1,-1.275222301E0,2.057879418E-1
1.326529458E0,3.413153887E-1,4.300661087E-1,-7.053217888E-1
1.336553458E0,-9.019824117E-2,2.240669966E0,-1.341604352E0
1.346576458E0,-2.097691149E-1,3.217867851E0,-1.921875119E0
1.356600458E0,-1.042174101E-1,3.638735771E0,-2.339374304E0
1.366623458E0,1.039267331E-1,3.444424629E0,-2.388792038E0
1.376647458E0,3.746824265E-1,2.724432230E0,-2.172130346E0
1.386671458E0,8.193203211E-1,1.735414028E0,-1.898981452E0
1.396694458E0,1.334258914E0,7.597251534E-1,-1.659577847E0
1.406718458E0,1.719475269E0,-6.347522885E-2,-1.419014215E0
1.416741458E0,1.814221263E0,-3.533017039E-1,-1.179317951E0
1.426765458E0,1.723364592E0,-2.984722853E-1,-1.017723560E0
1.436788458E0,1.629621387E0,-2.340603769E-1,-8.452323675E-1
1.446812458E0,1.599778295E0,-2.983011305E-1,-6.412738562E-1
1.456835458E0,1.621921539E0,-5.169305205E-1,-4.605559707E-1
1.466859458E0,1.735495448E0,-8.984667063E-1,-3.394221067E-1
1.476882458E0,2.003329992E0,-1.352101684E0,-2.698727548E-1
1.486906458E0,1.973338962E0,-1.271590352E0,-7.143051177E-2
1.496929458E0,1.407960296E0,-7.387527227E-1,1.161030009E-1
1.506953458E0,5.283195972E-1,-9.419324994E-1,2.034472376E-1
1.516976458E0,-7.120384574E-1,-1.532323360E0,4.775101244E-1
1.527000458E0,-1.395551562E0,-6.394621730E-1,6.844468117E-1
1.537024458E0,-1.486892700E0,6.512395740E-1,6.715716720E-1
1.547047458E0,-1.224800825E0,1.387775421E0,5.226264000E-1
1.557071458E0,-8.258572817E-1,1.595357895E0,2.886748314E-1
1.567094458E0,-5.087221861E-1,1.369776964E0,1.696656048E-1
1.577118458E0,-2.553309500E-1,8.703739643E-1,1.565535665E-1
1.587141458E0,9.448248893E-3,3.306912780E-1,1.165710017E-1
1.597165083E0,2.667286396E-1,2.307438292E-3,1.489057112E-2
1.607188083E0,4.203435183E-1,1.385383867E-2,-1.547186170E-2
1.617212083E0,3.926672637E-1,1.228794977E-1,8.810450323E-3
1.627235083E0,1.320554018E-1,1.213111654E-1,4.280729592E-2
1.637259083E0,-1.933558434E-1,8.467648923E-2,5.108028650E-2
1.647282083E0,-3.910604119E-1,2.328423969E-2,6.770133972E-2
1.657306083E0,-4.168202281E-1,-1.298139095E-1,9.778000414E-2
1.667329083E0,-3.205631971E-1,-2.977645695E-1,1.626223773E-1
1.677353083E0,-1.950221807E-1,-4.259415269E-1,2.455358058E-1
1.687377083E0,-1.281243712E-1,-5.212057233E-1,3.159782588E-1
1.697400083E0,-1.231078580E-1,-6.354834437E-1,3.270758390E-1
1.707424083E0,-2.106736749E-1,-6.851588488E-1,2.949788868E-1
1.717447083E0,-4.374603033E-1,-5.717121959E-1,2.805641294E-1
1.727471083E0,-7.637705207E-1,-3.386262059E-1,3.324534297E-1
1.737494083E0,-1.123008132E0,-3.069099225E-2,4.120030403E-1
1.747518083E0,-1.488896132E0,2.209106088E-1,4.932238460E-1
1.757541083E0,-1.846826434E0,2.449621707E-1,5.697569251E-1
1.767565083E0,-2.196216583E0,1.260954440E-1,6.551541090E-1
1.777588083E0,-2.530787230E0,-1.232218277E-2,7.978657484E-1
1.787612083E0,-2.657195568E0,1.964075863E-1,9.088468552E-1
1.797635083E0,-2.282443047E0,1.049032331E0,1.043322921E0
1.807659083E0,-1.514945269E0,2.391861677E0,1.163242221E0
1.817682083E0,-1.308022857E0,2.450408936E0,1.313177228E0
1.827706083E0,-2.037495375E0,7.272197008E-1,1.444716573E0
1.837730083E0,-2.368090153E0,-9.983366132E-1,9.343706369E-1
1.847753083E0,-1.197369337E0,-2.478413582E0,2.779839933E-2
1.857777083E0,-2.253992707E-1,-3.193104982E0,5.865301490E-1
1.867800083E0,-8.671936393E-1,-2.629642487E0,1.358266711E0
1.877824083E0,-1.201210141E0,-1.370438933E0,1.171962380E0
1.887847083E0,-8.224371076E-1,-8.731516004E-1,8.647002578E-1
1.897871083E0,-3.315241337E-1,-5.642456412E-1,6.225229502E-1
1.907894083E0,-2.037267685E-1,1.162042990E-1,2.523206770E-1
1.917918083E0,-5.389194191E-2,2.509911060E-1,-7.873574644E-2
1.927941083E0,3.667471707E-1,-2.822826505E-1,-2.682510912E-1
1.937965083E0,8.497496843E-1,-7.001558542E-1,-3.768676519E-1
1.947988083E0,1.113543034E0,-1.067901850E0,-4.635452926E-1
1.958012083E0,1.164627671E0,-1.229065418E0,-5.527741313E-1
1.968035083E0,1.117735982E0,-9.573616982E-1,-6.699103713E-1
1.978059083E0,1.047261477E0,-6.821599007E-1,-8.380318880E-1
1.988083083E0,1.003292084E0,-2.471323013E-1,-9.605649710E-1
1.998106083E0,9.755011797E-1,3.150902987E-1,-1.075800776E0
2.008130083E0,1.037697196E0,9.307956100E-1,-1.196558237E0
2.018153083E0,1.231985450E0,1.286645889E0,-1.275591493E0
2.028177083E0,1.485349536E0,1.250757456E0,-1.208938479E0
2.038200083E0,1.754683852E0,9.599075317E-1,-1.207048416E0
2.048224083E0,2.038442373E0,5.554889441E-1,-1.239886761E0
2.058247083E0,2.357423306E0,2.360905111E-1,-1.231072903E0
2.068271083E0,2.695440054E0,-8.241823316E-2,-1.178943992E0
2.078294083E0,2.835912228E0,-4.013790488E-1,-1.125718832E0
2.088318083E0,2.754981279E0,-8.434906602E-1,-1.098992229E0
2.098341083E0,2.735453844E0,-1.325561047E0,-1.086809754E0
2.108365083E0,2.565714836E0,-1.283132911E0,-1.190214753E0
2.118388083E0,1.819744587E0,-5.209602118E-1,-1.057505012E0
2.128412083E0,8.514210582E-1,-1.194985062E-1,-5.444470644E-1
2.138436083E0,-1.567147374E-1,-6.073392630E-1,1.240719389E-2
2.148459083E0,-1.086248040E0,-8.430194259E-1,4.620646238E-1
2.158483083E0,-1.328680754E0,-3.856784478E-2,4.852557480E-1
2.168506083E0,-1.193039298E0,8.707304597E-1,1.430043876E-1
2.178530083E0,-1.043696642E0,1.521157622E0,-1.027431432E-2
2.188553083E0,-1.120625496E0,2.267587662E0,-4.735510424E-2
2.198577083E0,-1.230299830E0,2.594590902E0,-4.794284329E-2
2.208600083E0,-1.156727076E0,2.151373148E0,3.084704280E-2
2.218624083E0,-9.312673807E-1,1.194826841E0,8.519435674E-2
2.228647083E0,-5.999403596E-1,1.704118401E-1,1.748861670E-1
2.238671083E0,-2.736206353E-1,-4.131056368E-1,2.103636414E-1
2.248694083E0,-4.091228917E-2,-5.281518102E-1,1.629314125E-1
2.258718083E0,5.947790295E-2,-2.904137671E-1,1.235168353E-1
2.268742083E0,1.225500852E-1,6.549506634E-2,1.450751275E-1
2.278765083E0,2.123907655E-1,2.229227722E-1,1.405669302E-1
2.288789083E0,2.987616062E-1,7.682308555E-2,6.291767210E-2
2.298812083E0,2.757080793E-1,-2.472891957E-1,-8.705757558E-2
2.308836083E0,1.439532489E-1,-5.365034342E-1,-2.350765914E-1
2.318859083E0,8.739870042E-3,-7.000557780E-1,-3.323913217E-1
2.328883083E0,-8.052290231E-2,-7.867701650E-1,-3.396335244E-1
2.338906083E0,-1.318898499E-1,-8.593884110E-1,-2.733217776E-1
2.348930083E0,-1.371274889E-1,-9.191444516E-1,-1.326850504E-1
2.358953083E0,-1.288874596E-1,-9.781121612E-1,1.722796634E-2
2.368977083E0,-1.386511475E-1,-9.943832755E-1,1.335335225E-1
2.379000083E0,-1.947201937E-1,-9.112946987E-1,2.429045886E-1
2.389024083E0,-2.837073207E-1,-7.750737667E-1,3.616533279E-1
2.399047083E0,-4.526383579E-1,-7.337700725E-1,4.851664007E-1
2.409071083E0,-7.892848253E-1,-6.656370759E-1,5.894616842E-1
2.419094083E0,-1.152223706E0,-4.687586129E-1,7.339262962E-1
2.429118083E0,-1.288143277E0,1.027072594E-1,9.188090563E-1
2.439142083E0,-1.145896196E0,9.748122096E-1,1.038404703E0
2.449165083E0,-8.836505413E-1,2.030039310E0,1.087469935E0
2.459189083E0,-9.133417010E-1,2.195160151E0,9.741218090E-1
2.469212083E0,-1.199358344E0,1.304991722E0,5.391101241E-1
2.479236083E0,-1.001899719E0,1.196996346E-1,-4.900244176E-1
2.489259083E0,2.061482370E-1,-8.539085984E-1,-1.557253957E0
2.499283083E0,1.124448180E0,-1.972975016E0,-8.483469486E-1
2.509306083E0,3.241842091E-1,-4.510052204E0,9.024776816E-1
2.519330083E0,5.414063334E-1,-2.900441885E0,1.597083449E0
2.529353083E0,5.019726753E-1,-1.002125382E0,1.424656749E0
2.539377083E0,-2.920529842E-1,-1.769192696E0,1.031223536E0
2.549400083E0,-3.844865263E-1,-1.275597513E-1,4.332554936E-1
2.559424083E0,-4.658720195E-1,1.466796517E0,-9.535276890E-2
2.569447083E0,-3.528450429E-1,1.434764862E0,-4.758431017E-1
2.579471083E0,5.386856943E-2,1.308494806E0,-7.653543949E-1
2.589495167E0,3.710654378E-1,1.451022863E0,-9.824196100E-1
2.599518167E0,6.740584373E-1,1.365828633E0,-1.210023880E0
2.609542167E0,1.085646033E0,9.185119271E-1,-1.386089206E0
2.619565167E0,1.468579888E0,5.172204375E-1,-1.392846584E0
2.629589167E0,1.647261143E0,4.958299696E-1,-1.293589830E0
2.639612167E0,1.773284912E0,5.431145430E-1,-1.173652768E0
2.649636167E0,1.867975950E0,5.091179609E-1,-1.130628824E0
2.659659167E0,1.890497684E0,3.933776915E-1,-1.117574096E0
2.669683167E0,1.854259014E0,1.722919047E-1,-1.079858422E0
2.679706167E0,1.795347571E0,-1.590348333E-1,-1.030956626E0
2.689730167E0,1.778840184E0,-7.510057688E-1,-1.010025978E0
2.699753167E0,1.869978428E0,-1.310946584E0,-1.093145609E0
2.709777167E0,1.769502163E0,-1.162643671E0,-1.051187515E0
2.719800167E0,1.153303981E0,-5.946037173E-1,-8.453109264E-1
2.729824167E0,7.055357844E-2,-6.743083596E-1,-5.829730630E-1
2.739848167E0,-1.317382216E0,-1.476243138E0,-3.833784908E-2
2.749871167E0,-1.871386886E0,-9.617350101E-1,5.424901247E-1
2.759895167E0,-1.642529964E0,5.210765004E-1,6.371387839E-1
2.769918167E0,-1.530151725E0,2.106515884E0,4.294641614E-1
2.779942167E0,-1.728675485E0,3.010353088E0,3.412635922E-1
2.789965167E0,-1.868790269E0,3.208987951E0,4.333365262E-1
2.799989167E0,-1.577990413E0,2.774721861E0,5.309104323E-1
2.810012167E0,-8.388504982E-1,1.919736862E0,5.088751912E-1
2.820036167E0,-8.853688091E-2,1.035656691E0,3.457933068E-1
2.830059167E0,2.931670547E-1,4.734492004E-1,2.486481071E-1
2.840083167E0,2.634763122E-1,2.400392294E-1,3.036772907E-1
2.850106167E0,9.249107912E-3,2.046388835E-1,4.553928077E-1
2.860130167E0,-1.953303069E-1,2.078250200E-1,5.623348355E-1
2.870153167E0,-2.223563343E-1,1.396329105E-1,5.749582052E-1
2.880177167E0,-7.240844518E-2,5.461705104E-2,4.606877267E-1
2.890200167E0,1.813143641E-1,1.752401143E-2,2.513321042E-1
2.900224167E0,4.174892008E-1,-5.405678973E-2,-2.672915813E-3
2.910248167E0,5.330901146E-1,-9.087578952E-2,-1.519241929E-1
2.920271167E0,5.262347460E-1,-1.764276922E-1,-1.655891985E-1
2.930295167E0,4.240306616E-1,-3.253998756E-1,-1.125976145E-1
2.940318167E0,2.526809275E-1,-4.091734290E-1,-4.958890006E-2
2.950342167E0,3.989861161E-2,-3.807609677E-1,7.354980707E-2
2.960365167E0,-1.622815728E-1,-3.793111145E-1,2.624731958E-1
2.970389167E0,-4.015245438E-1,-3.220997751E-1,3.973471224E-1
2.980412167E0,-7.045235634E-1,-1.727001369E-1,4.823501110E-1
2.990436167E0,-1.005984068E0,-4.472086951E-2,5.741754174E-1
3.000459167E0,-1.224234939E0,-4.342139699E-3,6.795933843E-1
3.010483167E0,-1.382810116E0,-1.150958166E-1,7.830721140E-1
3.020506167E0,-1.538713217E0,-2.543995976E-1,9.385258555E-1
3.030530167E0,-1.787622452E0,-2.145248950E-1,1.095609903E0
3.040553167E0,-2.122357607E0,5.570529774E-2,1.246159434E0
3.050577167E0,-2.304716825E0,5.015326142E-1,1.453808188E0
3.060601167E0,-2.098970175E0,1.421823382E0,1.605776310E0
3.070624167E0,-1.710008621E0,2.916606426E0,1.557561040E0
3.080648167E0,-1.769013882E0,2.670922279E0,1.079528213E0
