"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.525208332E-3,3.183879089E-1,9.507778473E0,-2.077679443E0
8.497791667E-3,2.586621094E-1,9.473499756E0,-1.893562317E0
1.852179167E-2,2.231858826E-1,9.394913177E0,-1.788031769E0
2.854479167E-2,2.390528870E-1,9.395362244E0,-1.715732117E0
3.856779167E-2,2.258802795E-1,9.476792908E0,-1.683848419E0
4.859179167E-2,1.579216003E-1,9.590855713E0,-1.729802856E0
5.861479167E-2,4.805007935E-2,9.688752136E0,-1.809437256E0
6.863779167E-2,-2.260299683E-2,9.695488129E0,-1.979932709E0
7.866179167E-2,-1.736389160E-2,9.558223572E0,-2.188748474E0
8.868479167E-2,-4.342469788E-1,9.460925903E0,-2.064806213E0
9.870879167E-2,-6.246510315E-1,9.486971741E0,-1.849703522E0
1.087317917E-1,-5.709127808E-1,9.495803375E0,-1.821711731E0
1.187547917E-1,-4.544549561E-1,9.473948822E0,-1.872905273E0
1.287787917E-1,-2.766247559E-1,9.548194427E0,-1.898352356E0
1.388017917E-1,-3.121009827E-1,9.858349457E0,-1.882485352E0
1.488247917E-1,-4.986131287E-1,1.023855881E1,-1.616338806E0
1.588487917E-1,-5.415737915E-1,1.050844757E1,-1.383123779E0
1.688717917E-1,-4.164340210E-1,1.056308395E1,-1.530567169E0
1.788947917E-1,-3.391946411E-1,1.038225998E1,-1.881587219E0
1.889187917E-1,-3.718267822E-1,1.024843826E1,-2.146835632E0
1.989417917E-1,-5.011578369E-1,1.028092072E1,-2.182012482E0
2.089647917E-1,-5.956114197E-1,1.040606049E1,-2.059866486E0
2.189887917E-1,-6.141728210E-1,1.043405228E1,-1.934876404E0
2.290117917E-1,-5.050497437E-1,1.031654663E1,-1.850002899E0
2.390347917E-1,-3.829037476E-1,1.024768982E1,-1.787882080E0
2.490587917E-1,-4.438270569E-1,1.019859192E1,-1.727557526E0
2.590817917E-1,-6.301895142E-1,1.022149429E1,-1.649719391E0
2.691047917E-1,-8.783734131E-1,1.030127838E1,-1.628463593E0
2.791287917E-1,-1.279688873E0,1.033480865E1,-1.554517365E0
2.891517917E-1,-1.761686554E0,1.028840515E1,-1.406924286E0
2.991747917E-1,-2.105521545E0,1.010967682E1,-1.430724792E0
3.091987917E-1,-2.379601593E0,9.743987274E0,-1.775906982E0
3.192217917E-1,-2.714754639E0,9.271419983E0,-2.149230652E0
3.292447917E-1,-3.128793640E0,8.776998138E0,-2.416724396E0
3.392687917E-1,-3.468886414E0,8.320597229E0,-2.587519226E0
3.492917917E-1,-3.758534088E0,7.980654144E0,-2.237097931E0
3.593157917E-1,-3.948638763E0,7.899822235E0,-9.351054382E-1
3.693387917E-1,-4.602479095E0,7.999514923E0,8.846603394E-1
3.793617917E-1,-5.609884186E0,8.409961395E0,2.284848633E0
3.893857917E-1,-5.285957794E0,9.398356018E0,2.504292297E0
3.994087917E-1,-3.514541473E0,1.052641022E1,1.825753326E0
4.094317917E-1,-2.629282379E0,1.128218857E1,9.669891357E-1
4.194557917E-1,-1.819915466E0,1.161734161E1,4.400848389E-2
4.294787917E-1,-1.642085266E0,1.146944916E1,-3.694317627E-1
4.395017917E-1,-1.798509979E0,1.106064926E1,-3.106040955E-1
4.495264167E-1,-2.397264862E0,1.037372772E1,-1.766326904E-1
4.595494167E-1,-2.578687592E0,9.503886566E0,-5.022056580E-1
4.695724167E-1,-2.186503143E0,8.915609894E0,-7.240443420E-1
4.795964167E-1,-1.933379517E0,8.585695953E0,-4.718188477E-1
4.896194167E-1,-1.960323486E0,8.297096100E0,-1.251397705E-1
4.996424167E-1,-1.794618073E0,8.099656677E0,5.269042969E-2
