"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.344583092E-4,-3.431913300E0,1.644689850E1,-1.172362061E0
1.036045834E-2,-1.093476105E0,1.604214020E1,-7.253915405E-1
2.038645832E-2,5.571414185E-1,1.523606644E1,1.645528107E0
3.041245835E-2,1.228794708E0,1.459150681E1,3.881877594E0
4.043845832E-2,1.590891724E0,1.550670364E1,4.448150024E0
5.046445836E-2,1.565444641E0,1.654045395E1,4.816084900E0
6.049045833E-2,2.098635864E-1,1.614856888E1,5.030139771E0
7.051645831E-2,-1.669029236E-1,1.524819122E1,4.864134979E0
8.054245834E-2,4.210743713E-1,1.409064835E1,4.791386261E0
9.056845831E-2,2.333497467E0,1.305510178E1,4.520599365E0
1.005944583E-1,4.195325775E0,1.170251450E1,3.136128387E0
1.106204583E-1,4.943919067E0,1.010743149E1,1.785037994E0
1.206464584E-1,4.005520477E0,8.909921722E0,1.350791016E0
1.306724583E-1,3.066373444E0,7.315287781E0,7.563771057E-1
1.406984583E-1,1.722318420E0,5.727240143E0,3.432362366E-1
1.507244583E-1,-6.421646118E-1,4.280348969E0,7.216493225E-1
1.607504583E-1,-1.911225586E0,2.654130707E0,8.252339172E-1
1.707764583E-1,-3.066223755E0,4.809498596E-1,8.264314270E-1
1.808024583E-1,-5.560935974E0,-1.436113586E0,2.722837830E0
1.908284583E-1,-7.836653595E0,-4.893623657E0,4.184099121E0
2.008544583E-1,-6.184090118E0,-6.203699341E0,2.940036163E0
2.108804584E-1,-4.220623169E0,-5.401667175E0,1.121617584E0
2.209064583E-1,-3.312162323E0,-3.266207886E0,5.836363220E-1
2.309324583E-1,-2.484533386E0,-8.460406494E-1,9.454339600E-1
2.409584583E-1,-1.606010284E0,1.401535492E0,1.775757294E0
2.509844583E-1,-7.327262878E-1,3.506907349E0,2.821782074E0
2.610104583E-1,1.071771240E-1,5.151986389E0,3.338507538E0
2.710364583E-1,8.686436462E-1,6.646478577E0,2.849624176E0
2.810624584E-1,1.164278870E0,7.875872040E0,1.729353790E0
2.910884583E-1,8.390052795E-1,8.741821289E0,3.598516846E-1
3.011144584E-1,7.798782349E-2,9.537267151E0,1.648072815E-1
3.111404583E-1,-9.584568787E-1,9.933343506E0,6.771917725E-1
3.211664583E-1,-1.478176117E0,9.250762939E0,-3.521576843E0
