"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.745000185E-4,3.632189035E0,4.560489357E-1,-7.637191415E-1
1.080050005E-2,2.727680683E0,1.907789111E-1,1.727995276E-1
2.082550002E-2,2.003840446E0,-4.037629068E-1,-5.662658438E-2
3.085150005E-2,1.589350224E0,-7.706697583E-1,-7.583588362E-1
4.087750003E-2,1.162086606E0,-2.746189237E-1,-6.513763070E-1
5.090350000E-2,7.741938233E-1,2.325883508E-1,-1.811249256E-1
6.092950003E-2,4.842234254E-1,1.576634198E-1,-1.358843595E-1
7.095550001E-2,4.560128152E-1,-2.429926544E-1,-4.975738823E-1
8.098150004E-2,4.713600874E-1,-5.105854273E-1,-9.820607305E-1
9.100750001E-2,2.695508003E-1,-6.837638617E-1,-1.301102161E0
1.010325000E-1,-2.668985724E-1,-7.365481853E-1,-1.072574139E0
1.110585000E-1,-1.029635310E0,-1.016470194E0,-6.533883214E-1
1.210845000E-1,-1.862794638E0,-1.123106003E0,-3.529364765E-1
1.311105000E-1,-2.698284626E0,-6.061328053E-1,-1.212643608E-1
1.411365001E-1,-3.198047400E0,5.336773992E-1,7.818784565E-2
1.511625000E-1,-3.024154902E0,1.964966655E0,1.552916765E-1
1.611885000E-1,-2.266129732E0,3.465536833E0,2.019189745E-1
1.712145000E-1,-1.756034255E0,3.911628962E0,4.645966589E-1
1.812395000E-1,-2.245072603E0,2.374402761E0,8.530683517E-1
1.912655000E-1,-3.399230242E0,2.160840183E-1,9.941405058E-1
2.012915000E-1,-3.890121937E0,-6.499054432E-1,1.179455638E0
2.113175000E-1,-3.754659891E0,-2.467092574E-1,1.611325264E0
2.213435000E-1,-3.532861948E0,9.879074097E-1,2.002650261E0
2.313695000E-1,-3.461941957E0,2.230553150E0,2.322830915E0
2.413955000E-1,-3.586933851E0,2.748259068E0,2.850257397E0
2.514215001E-1,-3.587584257E0,2.189486265E0,3.524493933E0
2.614465000E-1,-3.424396753E0,5.920075178E-1,3.809477806E0
2.714725001E-1,-3.049364567E0,-1.354741931E0,3.407447100E0
2.814985000E-1,-2.455627680E0,-2.970904112E0,2.378202438E0
2.915245000E-1,-2.033454895E0,-3.801742315E0,1.569867969E0
3.015505000E-1,-2.136829615E0,-3.711827517E0,2.109255075E0
3.115765000E-1,-2.668768644E0,-2.444546223E0,3.449251175E0
3.216025000E-1,-2.705095053E0,-1.255937219E-1,4.007598877E0
3.316285000E-1,-2.625622034E0,1.454177499E0,3.661020517E0
3.416535000E-1,-2.560318947E0,2.253207922E0,2.899892569E0
3.516795000E-1,-2.423208714E0,3.520846605E0,2.185659170E0
3.617055001E-1,-2.413671255E0,5.115612030E0,1.814064860E0
3.717315000E-1,-2.403558969E0,6.457726955E0,1.580834866E0
3.817575001E-1,-2.066498280E0,6.975648880E0,1.201050878E0
3.917835000E-1,-1.209374189E0,6.252292633E0,9.588617086E-1
4.018095000E-1,-2.676858604E-1,5.140414238E0,8.663901091E-1
4.118345000E-1,5.557087064E-1,3.667137861E0,8.119423389E-1
4.218605000E-1,1.343077779E0,1.889531255E0,8.025672436E-1
4.318865000E-1,2.055506468E0,1.188843474E-1,7.932344675E-1
4.419125000E-1,2.613776445E0,-1.375566483E0,6.944645047E-1
4.519385000E-1,2.950737476E0,-2.180569172E0,5.004947782E-1
4.619645000E-1,3.041613817E0,-2.406829834E0,2.411678582E-1
4.719905001E-1,3.116960526E0,-2.733340263E0,-4.969993979E-2
4.820165000E-1,3.221016407E0,-3.398351192E0,-2.906793952E-1
4.920415001E-1,3.256408215E0,-3.833559752E0,-4.938181341E-1
5.020675000E-1,3.206996679E0,-3.750051022E0,-7.523810267E-1
5.120935000E-1,2.906278610E0,-3.126966238E0,-1.036584854E0
5.221195000E-1,2.208365679E0,-2.238853216E0,-1.188931942E0
5.321449167E-1,1.325169921E0,-1.451054931E0,-1.122719407E0
5.421709167E-1,6.524181962E-1,-1.219661951E0,-9.663485289E-1
