"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-8.998750018E-4,1.502874756E-1,9.402247925E0,2.498005371E0
9.124124997E-3,2.170486450E-1,9.488169250E0,2.593656464E0
1.914812500E-2,2.698887634E-1,9.568701782E0,2.687062225E0
2.917112500E-2,2.921923828E-1,9.590256958E0,2.781515808E0
3.919512500E-2,3.541635132E-1,9.540859680E0,2.745141449E0
4.921912500E-2,3.784130859E-1,9.410480804E0,2.669548645E0
5.924312500E-2,3.845503235E-1,9.291777649E0,2.614014130E0
6.926712500E-2,3.008743286E-1,9.237290955E0,2.565215607E0
7.929112500E-2,2.086660767E-1,9.284742279E0,2.553390198E0
8.931512500E-2,2.559677124E-1,9.383387146E0,2.578388214E0
9.933912500E-2,3.565585327E-1,9.454938354E0,2.577190704E0
1.093631250E-1,3.851490784E-1,9.475595398E0,2.518812103E0
1.193871250E-1,4.234693909E-1,9.538314972E0,2.545905762E0
1.294111250E-1,4.381388855E-1,9.596094818E0,2.584076385E0
1.394341250E-1,4.442761230E-1,9.590107269E0,2.549947357E0
1.494581250E-1,4.005670166E-1,9.561516724E0,2.475252686E0
1.594821250E-1,3.275189209E-1,9.487121429E0,2.415676575E0
1.695061250E-1,2.185455322E-1,9.396260376E0,2.355801086E0
1.795301250E-1,8.487350464E-2,9.406738586E0,2.343227234E0
1.895541250E-1,-1.347198486E-2,9.430688782E0,2.344275055E0
1.995781250E-1,-9.220825195E-2,9.450747070E0,2.370470581E0
2.096021250E-1,-4.296066284E-2,9.481732635E0,2.432741089E0
2.196261250E-1,8.128097534E-2,9.541458435E0,2.480192413E0
2.296501250E-1,1.877096558E-1,9.588460693E0,2.490221558E0
2.396741250E-1,2.070195007E-1,9.585915985E0,2.464175720E0
2.496971250E-1,1.457968140E-1,9.573641510E0,2.454445953E0
2.597211250E-1,5.463638306E-2,9.542506256E0,2.436782684E0
2.697451250E-1,-3.891906738E-3,9.546697540E0,2.457589417E0
2.797691250E-1,8.083190918E-3,9.532177734E0,2.477498016E0
2.897931250E-1,6.885681152E-2,9.499246216E0,2.466121674E0
