"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.007041669E-3,1.230243035E-2,1.821448684E0,6.564638615E-1
1.503104167E-2,1.071119215E-2,1.828558207E0,6.593374014E-1
2.505404167E-2,8.566315286E-3,1.834911704E0,6.635541320E-1
3.507804167E-2,8.721577935E-3,1.840613008E0,6.656883955E-1
4.510204167E-2,7.150175050E-3,1.845759630E0,6.670883894E-1
5.512604167E-2,9.064455517E-3,1.849753499E0,6.703947186E-1
6.515004167E-2,1.102657616E-2,1.856477022E0,6.705001593E-1
7.517304167E-2,1.284578163E-2,1.858436584E0,6.690173149E-1
8.519704167E-2,1.329605840E-2,1.862055540E0,6.699911952E-1
9.522104167E-2,1.598984748E-2,1.863610268E0,6.710636616E-1
1.052450417E-1,1.483847480E-2,1.868208289E0,6.702960134E-1
1.152690417E-1,1.680442132E-2,1.871391535E0,6.729482412E-1
1.252920417E-1,1.690448821E-2,1.871615291E0,6.727598906E-1
1.353160417E-1,1.788692921E-2,1.870685101E0,6.769059300E-1
1.453400417E-1,1.721010357E-2,1.869090796E0,6.762780547E-1
1.553640417E-1,1.670143940E-2,1.869035363E0,6.762596965E-1
1.653880417E-1,2.037134208E-2,1.865734458E0,6.770510077E-1
1.754110417E-1,1.936679706E-2,1.864068627E0,6.778885722E-1
1.854350417E-1,1.467430778E-2,1.862622857E0,6.775205135E-1
1.954590417E-1,1.458163001E-2,1.860803962E0,6.767747998E-1
2.054830417E-1,1.290269103E-2,1.858750463E0,6.767995358E-1
2.155070417E-1,1.128428802E-2,1.857886791E0,6.774078012E-1
2.255300417E-1,9.008133784E-3,1.856279016E0,6.741580367E-1
2.355540417E-1,6.070134696E-3,1.856354713E0,6.737747788E-1
2.455780417E-1,2.773606684E-3,1.857599139E0,6.729227901E-1
2.556020417E-1,4.472170491E-3,1.855253220E0,6.699698567E-1
2.656250417E-1,8.962836117E-3,1.854570150E0,6.670448780E-1
2.756490417E-1,1.126034558E-2,1.852897048E0,6.659985185E-1
2.856730417E-1,1.165809575E-2,1.852648139E0,6.662737727E-1
2.956970417E-1,1.326930802E-2,1.851527452E0,6.672799587E-1
3.057210417E-1,1.659725979E-2,1.852151990E0,6.719746590E-1
3.157440417E-1,1.973206736E-2,1.855094194E0,6.756415367E-1
3.257680417E-1,1.767252944E-2,1.858373284E0,6.804116368E-1
3.357920417E-1,1.468020026E-2,1.861719251E0,6.852016449E-1
3.458160417E-1,1.485706773E-2,1.865181804E0,6.876712441E-1
3.558400417E-1,1.154169906E-2,1.872269273E0,6.914827228E-1
3.658630417E-1,8.310169913E-3,1.878849030E0,6.889545321E-1
3.758870417E-1,9.336551651E-3,1.883624315E0,6.889007688E-1
3.859110417E-1,9.469255805E-3,1.889648795E0,6.884410977E-1
3.959350417E-1,1.010761596E-2,1.896023035E0,6.871259809E-1
4.059590417E-1,1.357246377E-2,1.903972983E0,6.874760389E-1
4.159820417E-1,1.540525071E-2,1.911637068E0,6.860427260E-1
4.260060417E-1,1.598619856E-2,1.919374585E0,6.890818477E-1
4.360300417E-1,1.454516221E-2,1.925609946E0,6.897138357E-1
4.460540417E-1,1.313150581E-2,1.933835626E0,6.945580840E-1
4.560780417E-1,1.301619131E-2,1.943095684E0,6.986210346E-1
4.661010417E-1,1.387976762E-2,1.951277852E0,7.057049870E-1
4.761250417E-1,4.477478098E-3,1.959155440E0,7.094294429E-1
4.861490417E-1,1.948044403E-3,1.968443394E0,7.135647535E-1
4.961730417E-1,6.520958617E-3,1.972824574E0,7.148447037E-1
5.061970417E-1,1.119705196E-2,1.975014091E0,7.133403420E-1
5.162200417E-1,1.609726995E-2,1.976433396E0,7.100347877E-1
5.262440417E-1,1.894260570E-2,1.973973036E0,7.034000754E-1
5.362680417E-1,2.120522782E-2,1.971638560E0,7.001374364E-1
5.462920417E-1,2.595292963E-2,1.968581676E0,6.988469362E-1
5.563160417E-1,2.606025524E-2,1.965596795E0,6.987159252E-1
5.663390417E-1,1.937889867E-2,1.963031173E0,7.007309198E-1
5.763630417E-1,1.084479876E-2,1.961998701E0,7.041991353E-1
5.863870417E-1,7.279693615E-3,1.962434411E0,7.065126300E-1
5.964110417E-1,3.685491392E-3,1.959927320E0,7.134591937E-1
6.064350417E-1,2.967967652E-3,1.959063053E0,7.176132202E-1
6.164580417E-1,-4.280954308E-4,1.957545400E0,7.168491483E-1
6.264820417E-1,2.210899256E-3,1.954415917E0,7.185240388E-1
6.365060417E-1,6.132403854E-3,1.951460958E0,7.174561024E-1
6.465300417E-1,1.284406707E-2,1.951937914E0,7.183389664E-1
6.565530417E-1,1.442465372E-2,1.950820208E0,7.167527676E-1
6.665770417E-1,1.172538940E-2,1.952392459E0,7.177150846E-1
6.766010417E-1,1.297068410E-2,1.953732491E0,7.153261900E-1
6.866250417E-1,1.506073307E-2,1.955635071E0,7.091282606E-1
6.966490417E-1,1.647034287E-2,1.957384825E0,7.067814469E-1
7.066720417E-1,1.315444242E-2,1.956219435E0,7.020205259E-1
7.166960417E-1,9.235068224E-3,1.959023952E0,7.012681961E-1
7.267200417E-1,3.972465172E-3,1.963458538E0,6.989568472E-1
7.367440417E-1,2.837958746E-3,1.967969418E0,7.062030435E-1
7.467680417E-1,-3.053854918E-3,1.973973155E0,7.079761624E-1
7.567910417E-1,-6.215826143E-3,1.978552699E0,7.112143040E-1
7.668150417E-1,-2.876456128E-3,1.982346296E0,7.189558148E-1
7.768390417E-1,5.191057920E-3,1.986210823E0,7.229705453E-1
7.868630417E-1,1.379102282E-2,1.986387372E0,7.260450125E-1
7.968870417E-1,1.998766512E-2,1.989335179E0,7.223027349E-1
8.069100417E-1,2.611270547E-2,1.990117311E0,7.285496593E-1
8.169335417E-1,3.033088520E-2,1.991367459E0,7.294242382E-1
8.269575417E-1,2.978952788E-2,1.995257735E0,7.323828936E-1
8.369815417E-1,2.471780404E-2,2.002411604E0,7.324212790E-1
8.470055417E-1,2.023392171E-2,2.006634951E0,7.293165922E-1
8.570285417E-1,1.928876713E-2,2.009410858E0,7.299000621E-1
8.670525417E-1,1.220767293E-2,2.012156487E0,7.307783961E-1
8.770765417E-1,1.059379708E-2,2.015010118E0,7.288121581E-1
8.871005417E-1,1.007562876E-2,2.015273333E0,7.254399061E-1
8.971245417E-1,1.062024478E-2,2.015335560E0,7.248990536E-1
9.071475417E-1,1.008484978E-2,2.017044067E0,7.274121642E-1
9.171715417E-1,8.679766208E-3,2.017726183E0,7.287285924E-1
9.271955417E-1,9.050262161E-3,2.018582344E0,7.256990075E-1
9.372195417E-1,1.097572781E-2,2.019933939E0,7.257785797E-1
9.472435417E-1,1.021151710E-2,2.020311117E0,7.285336852E-1
9.572665417E-1,6.784029305E-3,2.023596764E0,7.288857698E-1
9.672905417E-1,1.035890076E-2,2.026011467E0,7.335662246E-1
9.773145417E-1,9.752765298E-3,2.026118517E0,7.351961136E-1
9.873385417E-1,1.176736783E-2,2.029085159E0,7.370801568E-1
9.973625417E-1,1.320334431E-2,2.028791904E0,7.396298647E-1
1.007385542E0,1.174078602E-2,2.031358242E0,7.425383329E-1
1.017409542E0,1.419408992E-2,2.034408092E0,7.442259789E-1
1.027433542E0,1.329511311E-2,2.040023327E0,7.458903790E-1
1.037457542E0,1.493056025E-2,2.045373678E0,7.456057072E-1
1.047480542E0,1.573020779E-2,2.048813105E0,7.453238368E-1
1.057504542E0,1.223853789E-2,2.053264618E0,7.449717522E-1
1.067528542E0,1.323849801E-2,2.056428432E0,7.426022291E-1
1.077552542E0,1.325527579E-2,2.060031176E0,7.391132116E-1
1.087576542E0,1.293742843E-2,2.060937405E0,7.398195863E-1
1.097599542E0,1.442107465E-2,2.065582037E0,7.411857843E-1
1.107623542E0,1.716153324E-2,2.065215349E0,7.419323921E-1
1.117647542E0,1.771067828E-2,2.067430258E0,7.441361547E-1
1.127671542E0,1.817153767E-2,2.067816734E0,7.472394109E-1
1.137695542E0,1.561170816E-2,2.072385311E0,7.512525320E-1
1.147718542E0,1.594848000E-2,2.074570417E0,7.563371658E-1
1.157742542E0,1.193429809E-2,2.077773333E0,7.588211298E-1
1.167766542E0,1.151869819E-2,2.085871935E0,7.581623197E-1
1.177790542E0,7.988678291E-3,2.087786674E0,7.581681609E-1
1.187814542E0,4.908098374E-3,2.091776371E0,7.562413216E-1
1.197837542E0,6.080687977E-3,2.093199492E0,7.518633604E-1
1.207861542E0,9.317861870E-3,2.093758106E0,7.480657101E-1
1.217885542E0,1.131177042E-2,2.089698076E0,7.456712723E-1
1.227909542E0,1.824592985E-2,2.083069563E0,7.448198795E-1
