"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.929541665E-3,2.546554506E-1,-1.135793567E0,1.641563773E-1
1.495254167E-2,2.368668765E-1,-1.093079448E0,1.400806010E-1
2.497654167E-2,2.484043837E-1,-1.059335947E0,1.318595856E-1
3.499954167E-2,2.719043791E-1,-1.046810627E0,1.287727058E-1
4.502354166E-2,2.853577435E-1,-1.097021461E0,1.267413795E-1
5.504654167E-2,2.903967202E-1,-1.164463043E0,1.234209612E-1
6.507054167E-2,2.944646478E-1,-1.213798165E0,1.150508523E-1
7.509354167E-2,3.166823387E-1,-1.269104600E0,1.127019450E-1
8.511654167E-2,3.454805315E-1,-1.299855351E0,7.062677294E-2
9.514054167E-2,3.455724120E-1,-1.271651149E0,3.647812828E-2
1.051635417E-1,3.428831995E-1,-1.160894752E0,-4.973154142E-2
1.151875417E-1,3.641131222E-1,-1.078355074E0,-1.159299985E-1
1.252105417E-1,3.891609609E-1,-1.013517737E0,-1.441328526E-1
1.352345417E-1,3.970391452E-1,-1.009750724E0,-1.502024680E-1
1.452575417E-1,4.055594206E-1,-1.011066318E0,-1.356101930E-1
1.552815417E-1,3.982479572E-1,-1.011960626E0,-1.051537544E-1
1.653045417E-1,3.980095685E-1,-1.015891314E0,-6.241562963E-2
1.753285417E-1,4.151930809E-1,-1.005057931E0,-3.532303125E-2
1.853515417E-1,4.254268110E-1,-9.936424494E-1,-1.491017733E-2
1.953755417E-1,4.285056889E-1,-9.845056534E-1,-2.242428623E-2
2.053985417E-1,4.276301861E-1,-9.974648356E-1,-3.088394366E-2
2.154215417E-1,4.195197821E-1,-1.003864527E0,-4.485515133E-2
2.254455417E-1,3.818301857E-1,-9.824794531E-1,-7.018262893E-2
2.354685417E-1,3.194179237E-1,-9.241862893E-1,-8.950652182E-2
2.454925417E-1,2.788417637E-1,-8.388227820E-1,-1.032087430E-1
2.555155417E-1,2.813557982E-1,-7.752190232E-1,-1.038889140E-1
2.655395417E-1,3.194632232E-1,-7.421410084E-1,-1.187962443E-1
2.755625417E-1,3.708342612E-1,-7.180527449E-1,-1.484790444E-1
2.855865417E-1,4.029948711E-1,-6.917316318E-1,-1.857574135E-1
2.956095417E-1,4.116309881E-1,-6.641710997E-1,-2.388627082E-1
3.056335417E-1,4.046024084E-1,-6.120685935E-1,-2.885042727E-1
3.156565417E-1,3.873035908E-1,-5.740650296E-1,-3.251496255E-1
3.256795417E-1,3.734220564E-1,-5.500680804E-1,-3.474022746E-1
3.357035417E-1,3.672134280E-1,-4.975164831E-1,-3.542535007E-1
3.457265417E-1,3.796352446E-1,-4.471121430E-1,-3.422873318E-1
3.557505417E-1,3.792379200E-1,-4.024661183E-1,-2.677204311E-1
3.657735417E-1,3.459947109E-1,-4.767914712E-1,-2.700493932E-1
3.757975417E-1,2.712624073E-1,-6.538065076E-1,-3.088319302E-1
3.858205417E-1,1.980055124E-1,-8.143019080E-1,-3.547608256E-1
3.958445417E-1,1.598136574E-1,-8.252514601E-1,-3.498470187E-1
4.058675417E-1,1.495573223E-1,-7.380699515E-1,-3.207993507E-1
4.158915417E-1,1.537313014E-1,-6.617903113E-1,-3.241117895E-1
4.259145417E-1,1.447529495E-1,-6.376872063E-1,-3.445787430E-1
4.359385417E-1,8.412317187E-2,-6.409138441E-1,-3.664827347E-1
4.459615417E-1,-1.809985749E-2,-6.064160466E-1,-3.827516735E-1
4.559855417E-1,-1.118053049E-1,-5.096330047E-1,-3.747819066E-1
4.660085417E-1,-1.877079159E-1,-2.945040166E-1,-2.647005618E-1
4.760315417E-1,-2.135885209E-1,-9.838324040E-2,-2.174768299E-1
4.860555417E-1,-2.264918387E-1,-7.402627170E-2,-1.862387806E-1
4.960785417E-1,-3.265457451E-1,-2.223848552E-1,-1.428526938E-1
5.061025417E-1,-5.387101173E-1,-4.140483737E-1,-7.467013597E-2
5.161255417E-1,-7.907732129E-1,-4.908685982E-1,2.450438775E-2
5.261495417E-1,-1.019439340E0,-4.499154985E-1,1.182627678E-1
5.361725417E-1,-1.261898875E0,-3.946954012E-1,2.002234161E-1
5.461965417E-1,-1.551488519E0,-3.433485329E-1,2.686321735E-1
5.562195417E-1,-1.865504503E0,-3.341454566E-1,3.392685056E-1
5.662435417E-1,-2.162997007E0,-3.026982844E-1,4.546107352E-1
5.762665417E-1,-2.404189110E0,-2.540143728E-1,5.860295296E-1
5.862905417E-1,-2.589439154E0,-2.704475224E-1,7.052124739E-1
5.963135417E-1,-2.781426191E0,-4.295836389E-1,7.909204364E-1
6.063365417E-1,-2.931211233E0,-5.704874396E-1,8.404746652E-1
