"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.386916666E-3,4.109254761E0,2.389076889E1,8.013435974E0
1.541091667E-2,3.247646484E0,1.945833618E1,4.695884857E0
2.543391667E-2,3.592379608E0,1.473715393E1,3.531755676E0
3.545791667E-2,3.853736115E0,1.024574387E1,5.977519684E0
4.548091667E-2,3.751947784E0,6.062842255E0,6.997199249E0
5.550491667E-2,3.075055389E0,3.676804047E0,5.303471375E0
6.552891666E-2,1.057550812E0,4.262536011E0,2.523452454E0
7.555191667E-2,7.948471069E-2,6.960675201E0,-1.409169617E0
8.557591667E-2,2.544708252E-2,9.975555725E0,-5.996829529E0
9.559891667E-2,-1.752555542E0,1.345656693E1,-8.026758270E0
1.056229167E-1,-4.675078125E0,1.681393524E1,-6.422993317E0
1.156459167E-1,-6.800508270E0,1.994602203E1,9.526190186E-1
1.256699167E-1,-8.204588470E0,1.984183868E1,6.919510803E0
1.356929167E-1,-1.024963577E1,1.335208420E1,8.391549683E-1
1.457169167E-1,-8.970545654E0,8.369695129E0,-1.815275116E0
1.557409167E-1,-4.355043640E0,6.065536652E0,-1.030457153E0
1.657639167E-1,-1.620530090E0,4.007466431E0,-1.290466461E0
1.757879167E-1,-5.962101746E-1,2.226020966E0,-2.923271027E0
1.858109167E-1,-6.795867920E-1,1.597178650E0,-3.955674133E0
1.958349167E-1,-9.497749329E-1,2.225122833E0,-4.286486206E0
2.058579167E-1,-7.159611511E-1,4.247866516E0,-4.086202698E0
2.158819167E-1,6.586303711E-2,7.385940857E0,-3.767365723E0
2.259049167E-1,7.831713867E-1,1.074735077E1,-3.485501862E0
2.359289167E-1,1.182391205E0,1.311063629E1,-3.038830719E0
2.459529167E-1,1.251697083E0,1.436353088E1,-2.523003387E0
2.559759167E-1,1.224004669E0,1.454869583E1,-1.806742859E0
2.659999167E-1,7.674540710E-1,1.320658676E1,-1.126707001E0
2.760229167E-1,-1.927990723E-1,1.084854034E1,-8.153544617E-1
2.860469167E-1,-5.815406799E-1,8.902437286E0,-5.857319641E-1
2.960699167E-1,-8.852590942E-1,7.815846863E0,-6.855743408E-1
3.060939167E-1,-1.509011993E0,7.193441162E0,-5.132826233E-1
3.161169167E-1,-2.026785278E0,6.943311310E0,-1.278341675E-1
3.261409167E-1,-1.980980530E0,6.900350647E0,-9.580078125E-3
3.361649167E-1,-2.158960419E0,6.829996948E0,-3.987707520E-1
3.461879167E-1,-2.073039093E0,7.037615204E0,-6.876699829E-1
3.562119167E-1,-1.725162506E0,7.686515808E0,-1.108145599E0
3.662349167E-1,-1.141077118E0,8.653055878E0,-1.237476654E0
3.762589167E-1,-7.069798279E-1,9.446855164E0,-7.990383911E-1
3.862819167E-1,-3.531156921E-1,9.797725525E0,-2.661465454E-1
3.963059167E-1,-5.948629761E-1,9.997859344E0,-2.933898926E-2
4.063289167E-1,-3.891906738E-2,9.984686737E0,-8.981323242E-4
4.163529167E-1,6.920109558E-1,9.888287201E0,-2.110610962E-1
4.263769167E-1,6.945556641E-1,9.778265991E0,-6.149212646E-1
4.363999167E-1,4.667294312E-1,9.797426147E0,-9.949809265E-1
4.464239167E-1,5.135820007E-1,9.715396729E0,-1.154100037E0
4.564469167E-1,5.152285767E-1,9.614955597E0,-1.144070892E0
4.664709167E-1,2.950364685E-1,9.446855164E0,-1.054407349E0
4.764939167E-1,1.245410156E-1,9.478289795E0,-9.169931030E-1
4.865179167E-1,-2.983296204E-1,9.641001434E0,-7.155120850E-1
4.965409167E-1,-6.053411865E-1,9.980495453E0,-2.969824219E-1
5.065649167E-1,-7.729925537E-1,1.032118698E1,5.146298218E-1
5.165889167E-1,-8.655001831E-1,1.064451462E1,1.072519684E0
5.266119167E-1,-9.397457886E-1,1.100990479E1,3.622467041E-1
5.366359167E-1,-8.384065247E-1,1.138936569E1,-1.085991669E0
5.466589167E-1,-6.385720825E-1,1.192375443E1,-1.193767548E0
5.566829167E-1,-9.177415466E-1,1.282098862E1,5.722599792E-1
5.667059167E-1,-1.089434509E0,1.359188553E1,9.469308472E-1
5.767299167E-1,2.546205139E-1,1.386237305E1,-1.603615265E0
