"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.499500009E-3,3.950734406E0,9.491013336E0,5.523513794E-1
8.524500008E-3,3.212619324E0,9.993668060E0,1.080752563E-1
1.854950003E-2,2.621648254E0,1.054452255E1,5.289999390E-1
2.857349999E-2,2.145039368E0,1.104553070E1,1.254990234E0
3.859750001E-2,1.873653717E0,1.136227203E1,1.586401062E0
4.862150003E-2,1.667682037E0,1.079749649E1,1.557062073E0
5.864550004E-2,2.727777557E0,9.192234650E0,1.090332642E0
6.867050001E-2,3.551514587E0,7.445666656E0,6.932084656E-1
7.869450003E-2,3.490441589E0,5.947282562E0,5.086422729E-1
8.871849999E-2,3.103645935E0,5.302273865E0,3.424877930E-1
9.874250001E-2,2.257904663E0,5.027145996E0,1.999841309E-1
1.087665000E-1,1.090482330E0,4.771777039E0,-1.496887207E-4
1.187915000E-1,2.489323425E-1,4.660857697E0,-2.597099304E-1
1.288155000E-1,-1.956431580E-1,4.480482788E0,-3.805087280E-1
1.388395000E-1,-3.474275208E-1,4.345463562E0,-3.686833191E-1
1.488635000E-1,-2.478845215E-1,4.061054993E0,1.149609375E-1
1.588875000E-1,-5.089416504E-2,3.952081604E0,5.007087708E-1
1.689125000E-1,4.673281860E-1,4.086801453E0,8.949888611E-1
1.789365000E-1,6.532415771E-1,4.338877258E0,1.795366516E0
1.889605000E-1,1.726809082E0,5.006039886E0,1.729204102E0
1.989845000E-1,2.346221008E0,5.255570984E0,3.413351898E0
2.090085000E-1,2.790048065E0,5.824986877E0,3.885021057E0
2.190325000E-1,3.535348206E0,6.816225586E0,4.099225616E0
2.290575000E-1,4.174069977E0,8.020171967E0,4.282893677E0
2.390815000E-1,5.116510162E0,9.113947449E0,4.662504272E0
2.491055000E-1,6.474935303E0,1.031534912E1,5.256020050E0
2.591295000E-1,8.360564117E0,1.217837494E1,5.737868042E0
2.691535000E-1,1.045485901E1,1.473475891E1,5.840853882E0
