"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.006500039E-3,-4.250427186E-1,3.881238699E-1,5.194336176E-1
1.103050000E-2,-3.573856354E-1,3.261052370E-1,7.667262554E-1
2.105550002E-2,-2.358798832E-1,4.805723429E-1,1.073316336E0
3.107950004E-2,-1.280817837E-1,8.580525517E-1,1.413989782E0
4.110350000E-2,-7.893706858E-2,1.375764608E0,1.791496158E0
5.112750002E-2,-8.971914649E-2,1.936848760E0,2.017207146E0
6.115150003E-2,-8.635316789E-2,2.245049477E0,2.012633085E0
7.117650000E-2,-3.679200634E-2,2.330313921E0,1.863164425E0
8.120050002E-2,6.843630970E-2,2.297740221E0,1.606428742E0
9.122450004E-2,2.065550238E-1,2.267276287E0,1.311834574E0
1.012485000E-1,3.495590985E-1,2.269103527E0,1.065023303E0
1.112725000E-1,4.828827977E-1,2.246524811E0,8.605418205E-1
1.212975000E-1,5.960695148E-1,2.140144587E0,6.876980662E-1
1.313215000E-1,6.908090711E-1,1.915312052E0,5.274673700E-1
1.413455000E-1,7.934290171E-1,1.720713735E0,3.761139512E-1
1.513695000E-1,9.038947821E-1,1.500035763E0,2.357539088E-1
1.613935000E-1,1.023467302E0,1.090746164E0,4.344194382E-2
1.714185000E-1,1.185946226E0,9.639264345E-1,-5.537011847E-2
1.814425000E-1,1.301179767E0,4.910255075E-1,-2.543300390E-1
1.914665000E-1,1.492016315E0,1.309488416E-1,-5.034632087E-1
2.014905000E-1,1.683957934E0,-1.790444702E-1,-7.196912169E-1
2.115145000E-1,1.804836750E0,-4.969086945E-1,-9.654359818E-1
2.215385000E-1,1.806018591E0,-7.544292212E-1,-1.201217651E0
2.315635000E-1,1.662946939E0,-8.087382913E-1,-1.361002207E0
2.415875000E-1,1.386258245E0,-7.338187099E-1,-1.415187955E0
2.516115000E-1,1.116754889E0,-7.734982371E-1,-1.415376306E0
2.616355000E-1,9.005229473E-1,-1.051969528E0,-1.381637812E0
2.716595000E-1,6.640984416E-1,-1.320713401E0,-1.333378196E0
2.816845000E-1,2.937695086E-1,-1.290461183E0,-1.145567417E0
2.917085000E-1,-2.035507709E-1,-7.467656732E-1,-7.000429034E-1
3.017325000E-1,-6.126670241E-1,6.986600906E-2,-2.066507936E-2
3.117565000E-1,-6.915506721E-1,7.618841529E-1,8.510304093E-1
3.217805000E-1,-5.896011591E-1,7.998238206E-1,1.304593801E0
3.318055000E-1,-4.318262041E-1,2.458570302E-1,1.135079861E0
3.418295000E-1,-1.303340793E-1,-2.812350392E-1,6.306148171E-1
3.518535000E-1,1.835210472E-1,-7.604702711E-1,-1.121724993E-1
3.618775000E-1,4.243656993E-1,-1.090639710E0,-8.645602465E-1
3.719015000E-1,6.441979408E-1,-1.358628511E0,-1.531454921E0
3.819265000E-1,8.490255475E-1,-1.702986479E0,-2.075572491E0
3.919505000E-1,1.028190613E0,-2.174445868E0,-2.452614784E0
4.019745000E-1,1.065613151E0,-2.432115793E0,-2.647064686E0
4.119985000E-1,8.181940913E-1,-2.372833490E0,-2.576668978E0
4.220225000E-1,4.634054005E-1,-2.276773453E0,-2.366773844E0
4.320475000E-1,2.749745250E-1,-2.200278521E0,-2.231582642E0
4.420715000E-1,3.428918123E-1,-2.122943878E0,-2.161093712E0
4.520955000E-1,5.530881882E-1,-1.907538056E0,-2.131747484E0
